V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apple,Q2_4_5,Q2_4_loquat,Q2_4_rambutan,Q2_4_mangosteen,Q2_4_peach,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_1,Q7_1_2,Q7_1_3,Q7_1_4,Q7_1_5,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q10_2_1,Q10_2_2,Q10_2_3,Q10_2_4,Q10_2_5,Q10_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_0wAGpUmiAvKadPT,Default Response Set,Anonymous,,,,1,30APR16:13:57:00,30APR16:14:06:00,1,0,2,0,1,,0,0,0,0,,,1,0,0,4,2,1,1,2,3,5,5,5,2,2,,6,7,6,3,4,7,3,2,5,5,2,7,4,5,3,5,6,5,6,5,2,4,3,7,1,5,6,6,2,6,5,2,6,5,2,3,3,4,7,2,,,,0,0,0,0,2,2,2,2,1,4,1,0,0,2,2,3,2,1,2,2,1,2,2,7,7,7,5,5,5,2,2,2,2,1,3,1,3,2,4,3,28,1,29.6381073,-82.41410065,-1,5,5,6,4,2,1,53,5,7,28,73,25,-6.81831,-0.11447,0.155999,0.334836,-2.490233819,-0.041807584,0.056975113,0.122291291,0,0,0,1,0
R_0rG7UslGHGflcDb,Default Response Set,Anonymous,,,217.248.123.1,0,02MAY16:15:24:00,02MAY16:15:32:00,1,400005,2,0,1,,0,0,0,0,,,0,0,1,6,3,2,3,2,1,5,5,5,3,4,,6,7,2,2,5,6,1,1,2,7,6,6,2,7,7,7,7,5,2,5,6,6,6,2,5,7,6,1,7,5,7,2,6,6,7,2,6,5,6,1,,,,0,0,0,0,2,2,2,2,2,6,1,0,0,2,2,2,1,1,1,2,1,1,3,7,7,7,7,7,7,5,5,4,5,4,4,2,1,3,3,3,34,2,50.96670532,12.94999695,-1,6,7,7,6,6,6,87,6,3,25,80,27,-4.49706,0.362453,-2.40771,0.530546,-1.642449653,0.132377777,-0.879361729,0.193769951,0,0,0,1,0
R_2uzoBMRWSA4Yuzz,Default Response Set,Anonymous,,,194.25.112.13,0,02MAY16:15:24:00,02MAY16:15:36:00,1,400006,2,0,1,,0,0,0,0,,,0,0,1,6,2,1,1,1,4,5,5,5,3,4,,7,7,4,1,7,6,1,2,6,1,7,4,1,7,7,7,7,2,7,7,7,7,7,6,6,7,7,6,7,6,7,2,7,6,7,2,4,4,2,1,,,,0,0,0,0,1,2,2,2,2,4,1,0,0,3,3,3,1,1,3,2,3,3,5,0,0,0,0,0,0,4,4,4,3,1,1,2,2,3,4,2,31,2,51.03329468,10.71670532,-1,7,7,6,7,1,2,73,6,2,16,95,31,-5.36129,-4.22969,-5.0636,-0.225602,-1.958090153,-1.544798796,-1.8493656,-0.082396038,0,0,0,1,0
R_0PS7mRGO3Issctv,Default Response Set,Anonymous,,,178.10.215.23,0,02MAY16:15:34:00,02MAY16:15:42:00,1,400010,1,1,1,,0,0,0,0,,,0,0,1,2,1,1,3,2,3,5,5,5,3,4,,7,6,2,2,7,7,2,5,2,6,5,4,2,6,6,7,7,5,4,5,6,6,4,2,3,6,4,1,6,4,6,2,7,5,6,2,5,7,5,1,,,,0,0,0,0,3,3,3,3,3,6,1,0,0,3,3,3,1,1,3,2,3,1,2,7,7,7,7,7,7,4,2,3,3,2,3,1,4,1,1,0,4,1,48.76669312,13.03329468,-1,6,6,3,6,4,6,74,6,5,28,76,24,-5.30715,-5.092,-5.36194,0.0950588,-1.93831674,-1.859738059,-1.958327551,0.034718081,0,0,0,1,0
R_9TahfNkeskRerjf,Default Response Set,Anonymous,,,83.215.141.36,0,02MAY16:15:40:00,02MAY16:16:10:00,1,800010,1,1,1,,0,0,0,0,,,0,0,1,4,1,1,3,3,4,5,5,4,1,2,,6,7,5,2,5,7,1,1,6,6,7,7,3,7,7,7,7,5,3,6,7,7,7,3,3,7,7,4,7,5,6,2,7,6,6,2,5,6,6,1,,,,0,0,0,0,3,1,2,3,3,5,1,0,0,3,3,3,1,1,3,2,3,1,2,6,7,6,7,7,7,3,1,3,1,2,3,1,4,5,3,1,15,3,47.84939575,13.251297,-1,6,7,7,5,5,5,82,6,5,28,94,30,-5.62789,-4.31427,-4.98755,0.21064,-2.055459785,-1.575689732,-1.821590054,0.076931505,0,0,0,1,0
R_eyYR4uBJxR5ECzP,Default Response Set,Anonymous,,,93.214.155.14,0,02MAY16:16:42:00,02MAY16:16:52:00,1,400017,2,0,1,,0,0,0,0,,,0,0,1,8,4,3,3,4,4,5,5,5,5,4,,5,5,4,1,5,3,1,2,5,7,5,6,1,7,7,7,7,4,2,5,6,5,7,1,4,7,6,3,7,1,7,2,5,6,4,3,3,5,5,1,,,,0,0,0,0,2,1,2,2,2,7,1,0,0,3,3,3,3,3,3,3,3,3,5,0,0,0,0,0,0,4,4,4,4,4,4,2,5,3,1,0,51,5,50.55000305,6.763397217,-1,7,7,6,7,6,7,89,5,4,23,72,24,-3.19021,-2.00998,-4.01303,-1.69797,-1.16515219,-0.734099824,-1.465668622,-0.620145214,0,0,0,1,0
R_bJaLviJsYSiaRzn,Default Response Set,Anonymous,,,194.96.241.11,0,02MAY16:16:53:00,02MAY16:17:02:00,1,800021,2,0,1,,0,0,0,0,,,0,0,1,7,1,1,3,1,3,5,5,5,3,2,,7,7,4,1,7,7,1,1,1,7,7,7,4,4,7,7,7,4,1,0,4,7,7,1,1,7,4,4,7,7,7,2,7,7,4,4,4,7,7,1,,,,0,0,0,0,2,2,2,2,2,4,1,0,0,2,3,2,1,2,3,2,3,3,5,0,0,0,0,0,0,4,4,4,4,4,4,1,5,4,3,1,49,2,48.01669312,16.63330078,-1,7,7,7,4,7,7,85,4,7,29,81,28,-5.06693,-0.147125,-4.09604,-0.208437,-1.850581807,-0.053734085,-1.495986151,-0.076126909,0,0,0,1,0
R_8vT5EnYKoqjKvmB,Default Response Set,Anonymous,,,188.104.130.2,0,02MAY16:18:45:00,02MAY16:19:08:00,1,400024,2,0,1,,0,0,0,0,,,0,0,1,4,2,1,3,2,5,5,5,5,2,4,,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,1,4,4,4,4,2,4,2,4,4,4,4,4,4,4,1,,,,0,0,0,0,3,3,4,3,3,4,1,0,0,2,1,2,2,1,2,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,4,1,12,3,49.5388031,8.575805664,-1,4,4,4,4,4,4,52,4,7,23,63,16,-0.622559,-0.408301,-1.25548,1.46547,-0.227375622,-0.149122724,-0.45853573,0.535229838,0,0,0,1,0
R_8hRxAz0SNWutehD,Default Response Set,Anonymous,,,89.144.226.11,0,02MAY16:19:51:00,02MAY16:20:00:00,1,800024,2,0,1,,0,0,0,0,,,0,0,1,6,2,1,3,1,3,5,5,5,3,2,,7,7,4,4,5,7,1,4,6,7,7,4,4,7,7,6,7,4,2,5,7,7,6,4,6,7,7,7,7,4,7,2,6,7,7,4,6,5,6,1,,,,0,0,0,0,3,2,3,3,3,4,1,0,0,3,3,3,3,3,3,2,3,1,4,7,7,7,7,7,7,4,4,4,4,4,4,2,1,4,1,0,35,2,48.19999695,16.36669922,-1,4,7,4,4,6,4,77,4,2,21,99,24,-5.47878,-3.90727,-3.76328,-0.366738,-2.001000723,-1.427042169,-1.374453072,-0.133942776,0,0,0,1,0
R_1ZASa4jHDf57bZb,Default Response Set,Anonymous,,,79.210.242.20,0,02MAY16:23:46:00,02MAY16:23:53:00,1,400038,2,0,1,,0,0,0,0,,,0,0,1,6,4,3,5,5,5,5,5,5,5,4,,6,6,3,4,5,5,4,4,5,4,6,5,4,3,5,5,6,4,4,4,5,6,6,4,3,3,4,2,3,7,4,2,5,5,6,4,4,5,4,1,,,,0,0,0,0,3,3,3,3,3,5,1,0,0,2,2,2,1,1,1,2,1,1,5,0,0,0,0,0,0,4,4,4,4,4,4,1,6,1,1,0,35,2,51.69999695,9.866699219,-1,4,4,4,4,4,4,51,4,5,22,74,27,-6.11541,-0.234242,-2.85013,1.11468,-2.23351546,-0.085551603,-1.040945647,0.407111708,0,0,0,1,0
