V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apple,Q2_4_5,Q2_4_loquat,Q2_4_rambutan,Q2_4_mangosteen,Q2_4_peach,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_1,Q7_1_2,Q7_1_3,Q7_1_4,Q7_1_5,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q10_2_1,Q10_2_2,Q10_2_3,Q10_2_4,Q10_2_5,Q10_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seeds,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_4MD5L7WY74WG37D,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:46:00,29APR16:16:49:00,1,300001,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,2,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,2,,,,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,2,2,1,1,3,2,2,2,2,2,2,4,4,3,3,3,3,2,2,4,2,6,18,5,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,-0.0885982,-0.454864,-1.71885,0.542909,-0.152078583,-0.574677865,0.181515423,-0.050845737,0,0,0,0,1
R_2l4On2H82kOEUbb,Default Response Set,Anonymous,,,87.171.231.78,0,02MAY16:15:24:00,02MAY16:15:30:00,1,400008,0,0,1,,0,0,0,0,,,0,0,1,5,2,1,3,1,3,5,5,5,1,4,,6,5,6,4,4,6,4,4,5,6,6,4,4,5,6,6,6,5,4,5,4,5,6,6,4,4,5,2,4,4,5,2,5,6,6,2,6,6,6,1,,,,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,2,3,3,1,2,3,2,5,0,0,0,0,0,0,4,4,4,4,4,4,1,1,4,3,2,23,2,48.86959839,8.670394897,-1,4,4,4,4,4,2,58,6,4,27,79,23,-3.88029,0.044073,-1.98833,-0.504678,0.014735304,-0.664775425,-0.168733325,0.004926581,0,0,0,0,1
R_1Fys1VnqXy0ofLn,Default Response Set,Anonymous,,,188.22.115.22,0,02MAY16:15:27:00,02MAY16:15:34:00,1,800006,2,0,1,,0,0,0,0,,,0,0,1,3,2,1,3,2,5,5,5,5,3,2,,6,7,5,3,7,4,3,4,6,6,5,7,3,6,6,5,7,5,3,7,4,6,7,4,5,5,3,2,5,6,6,2,4,4,5,2,4,5,5,1,,,,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,2,3,2,1,2,1,2,4,5,4,5,4,6,6,3,2,3,3,3,2,2,2,6,3,2,7,3,48.21670532,15.46670532,-1,5,5,4,5,5,4,67,6,3,24,72,34,-4.17232,4.14308,-1.81547,-0.192286,1.385191476,-0.606981658,-0.064288628,0.463122948,0,0,0,0,1
R_eDonCvOlO9obgtD,Default Response Set,Anonymous,,,212.124.155.7,0,02MAY16:15:26:00,02MAY16:15:35:00,1,800005,2,0,1,,1,0,0,0,,,0,0,0,3,2,2,3,2,5,5,5,5,3,2,,6,5,4,4,4,4,3,2,3,6,6,5,3,5,4,5,4,6,6,5,3,5,5,3,1,6,4,1,6,4,4,2,4,6,4,1,4,7,5,1,,,,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,2,1,2,1,1,1,4,7,5,5,5,6,5,2,1,2,2,3,2,1,1,4,2,1,7,3,48.12289429,14.87210083,-1,4,5,6,5,2,5,63,7,7,32,63,23,-0.573055,0.674868,0.355448,1.02935,0.225634407,0.118839979,0.344151415,0.075438287,0,0,0,0,1
R_cZUdDd92CgRT4X3,Default Response Set,Anonymous,,,188.22.235.87,0,02MAY16:15:44:00,02MAY16:15:50:00,1,800012,2,0,1,,0,0,0,0,,,0,0,1,5,3,3,4,3,5,5,5,5,5,2,,5,7,7,2,7,6,1,5,7,5,5,2,2,6,7,6,6,2,2,5,4,5,5,5,5,6,4,4,4,5,4,2,6,7,7,3,6,4,5,1,,,,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,3,2,1,3,1,1,1,5,0,0,0,0,0,0,1,1,4,1,2,1,2,2,1,2,1,29,5,48.30189514,14.24560547,-1,6,7,3,6,6,3,69,5,3,19,86,24,-0.789905,-1.28267,-2.24781,-0.188575,-0.428846064,-0.751529599,-0.063047897,-0.143379783,0,0,0,0,1
R_9mdZbZ2zc0si8nj,Default Response Set,Anonymous,,,88.117.98.33,0,02MAY16:16:41:00,02MAY16:16:50:00,1,800018,2,0,1,,0,0,0,0,,,0,0,1,2,2,1,1,1,2,5,5,5,3,2,,7,6,3,5,7,1,3,6,7,5,3,6,5,6,5,6,7,6,6,7,7,6,7,5,2,5,4,1,5,6,6,2,6,6,2,3,3,6,6,1,,,,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,2,2,1,2,1,1,5,0,0,0,0,0,0,2,2,3,1,1,2,1,4,4,0,1,4,1,47.28329468,11.88330078,-1,3,5,2,3,2,3,56,5,6,29,69,33,-1.34617,-0.840067,-1.31237,0.061683,-0.280866806,-0.43877592,0.020623007,-0.093904609,0,0,0,0,1
R_6nI42L2s9zBMZV3,Default Response Set,Anonymous,,,84.178.3.193,0,02MAY16:17:38:00,02MAY16:17:46:00,1,400019,2,0,1,,0,0,0,0,,,0,0,1,5,2,1,2,1,3,5,5,5,3,4,,6,6,5,3,7,6,2,3,5,6,5,6,3,5,5,6,6,5,3,6,6,6,7,6,3,5,4,3,5,2,5,2,6,5,6,2,4,5,5,1,,,,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,2,1,2,1,2,1,1,5,0,0,0,0,0,0,3,3,4,3,4,4,1,2,3,3,2,29,3,52.41670227,12.55000305,-1,5,6,5,5,5,2,65,6,5,26,79,28,-4.68319,1.73643,-3.42821,0.163077,0.580555537,-1.146182856,0.054522932,0.194102113,0,0,0,0,1
R_3KJTdQ9Jj6dSY7P,Default Response Set,Anonymous,,,79.253.192.13,0,02MAY16:17:38:00,02MAY16:17:54:00,1,400018,2,0,1,,0,0,0,0,,,0,0,1,4,2,1,1,1,1,5,5,5,1,4,,6,7,7,4,6,6,1,4,6,5,6,5,5,6,6,6,5,5,5,6,5,5,5,5,4,7,7,2,6,5,7,2,7,6,7,5,4,4,5,1,,,,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,2,3,2,1,3,1,2,5,0,0,0,0,0,0,6,5,4,4,4,3,2,1,4,3,2,13,2,51.4855957,7.536605835,-1,4,7,4,3,3,3,67,3,4,21,86,27,-4.14393,3.67847,-2.80011,-0.349107,1.229854429,-0.936184796,-0.116719938,0.411187781,0,0,0,0,1
R_9N5SIGoaaQpIYq9,Default Response Set,Anonymous,,,79.230.140.21,0,02MAY16:21:45:00,02MAY16:22:08:00,1,400033,2,0,1,,0,0,0,0,,,0,0,1,6,4,2,4,1,4,5,5,5,4,4,,4,4,3,3,4,1,3,4,5,5,1,1,3,5,5,6,1,6,4,4,4,4,4,3,1,6,4,3,5,1,3,2,1,4,4,1,2,6,6,1,,,,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,3,1,1,3,3,1,1,4,4,4,4,4,4,5,4,4,4,4,4,4,1,1,4,1,0,33,4,49.86709595,8.349700928,-1,5,5,4,5,4,5,63,7,7,32,45,14,-5.09573,-2.20811,-3.07398,-0.039104,-0.738256357,-1.027750102,-0.013073976,-0.246827581,0,0,0,0,1
R_3BEfJxgy2XcSYXb,Default Response Set,Anonymous,,,78.50.136.107,0,02MAY16:22:38:00,02MAY16:22:49:00,1,400034,2,0,1,,0,0,0,0,,,1,0,0,7,3,2,3,1,3,5,5,5,3,4,,6,6,1,5,7,3,4,4,4,6,2,7,5,6,6,5,7,7,4,7,7,7,7,6,1,6,1,3,6,4,5,2,5,7,1,1,1,7,7,1,,,,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,2,1,1,1,2,1,1,5,0,0,0,0,0,0,2,1,1,1,2,1,1,1,4,3,1,46,2,48.1499939,11.58329773,-1,3,4,4,3,4,2,60,7,7,35,61,32,-5.51723,0.667836,-3.42434,0.800739,0.223283339,-1.144888966,0.267717939,0.074652234,0,0,0,0,1
