V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apple,Q2_4_5,Q2_4_loquat,Q2_4_rambutan,Q2_4_mangosteen,Q2_4_peach,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_1,Q7_1_2,Q7_1_3,Q7_1_4,Q7_1_5,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q10_2_1,Q10_2_2,Q10_2_3,Q10_2_4,Q10_2_5,Q10_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_aX0tokGlJ1heN5X,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:53:00,29APR16:16:56:00,1,300003,2,0,1,,0,0,0,0,,,0,0,1,7,4,5,5,5,5,5,5,5,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,5,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,2,2,1,4,2,2,2,2,2,2,3,3,3,3,3,3,2,3,5,5,5,24,3,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,-4.80107,-1.82926,-0.465431,1.23688,-1.546128777,-0.589091916,-0.149886642,0.398322824,0,1,0,0,0
R_8ufiEGvOtj6OC0J,Default Response Set,Anonymous,,,,1,30APR16:13:49:00,30APR16:13:56:00,1,0,2,0,1,,0,0,0,0,,,1,0,0,4,1,2,2,1,2,5,5,5,1,4,,7,6,2,3,6,3,2,2,5,5,5,5,3,5,4,5,6,5,3,5,4,2,5,4,5,6,7,5,5,5,5,2,6,2,5,5,7,7,4,1,,,,7,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,2,2,1,2,7,4,6,5,6,7,1,2,1,1,1,2,1,1,5,2,1,36,6,29.6381073,-82.41410065,-1,5,6,6,5,5,4,66,3,3,22,72,26,-8.55576,-0.79642,1.19547,0.694153,-2.75528304,-0.256477802,0.384987215,0.223543903,0,1,0,0,0
R_1Zam10cUaILrs7X,Default Response Set,Anonymous,,,81.173.170.6,0,02MAY16:15:24:00,02MAY16:15:35:00,1,400003,2,0,1,,1,0,0,0,,,1,0,0,4,1,1,1,1,1,5,5,5,1,4,,4,6,3,3,7,6,2,2,3,5,6,6,3,6,6,6,6,5,2,7,6,5,6,3,4,5,6,5,6,5,6,2,5,7,6,3,3,5,5,1,,,,6,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2,1,3,6,6,6,6,6,7,4,4,4,4,4,4,2,1,5,2,1,13,4,50.94880676,6.919494629,-1,5,6,6,5,6,5,73,5,4,24,77,31,-5.5878,0.287691,-0.957209,0.669738,-1.799486027,0.092647542,-0.30825803,0.215681337,0,1,0,0,0
R_2fA8RlEFmkCEAOF,Default Response Set,Anonymous,,,86.32.135.60,0,02MAY16:15:24:00,02MAY16:15:39:00,1,800003,2,0,1,,0,0,0,0,,,0,0,1,6,3,1,4,1,3,5,5,5,4,2,,5,6,4,1,1,7,2,2,7,6,6,1,3,5,5,5,7,4,2,7,6,6,7,4,4,5,5,1,6,1,5,2,6,6,5,4,5,6,6,1,,,,7,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,2,2,1,3,7,7,7,7,7,7,3,1,3,2,4,1,2,2,3,3,1,38,5,48.25909424,16.33389282,-1,7,6,6,5,6,4,71,4,4,24,82,17,-7.58894,-2.24735,-1.02152,1.41794,-2.443929899,-0.72373294,-0.32896864,0.456631092,0,1,0,0,0
R_dp7K7K7jXZFrrE1,Default Response Set,Anonymous,,,47.64.164.95,0,02MAY16:15:34:00,02MAY16:15:44:00,1,400009,2,0,1,,0,0,0,0,,,0,0,1,4,2,1,2,1,5,5,5,5,3,4,,4,7,7,4,6,4,4,4,4,4,6,5,4,4,4,4,7,4,4,4,5,7,7,4,5,4,7,1,5,1,5,2,7,7,7,5,6,4,4,6,,,,7,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,5,0,0,0,0,0,0,4,4,4,4,4,4,2,1,3,2,2,14,2,51,9,-1,4,4,4,4,4,4,54,3,3,18,86,23,-6.13734,-4.48897,-3.22612,-2.49024,-1.976458995,-1.4456206,-1.038934439,-0.801952841,0,1,0,0,0
R_9KAO8k1WCoDZAfX,Default Response Set,Anonymous,,,193.81.119.16,0,02MAY16:15:46:00,02MAY16:16:04:00,1,800013,2,0,1,,0,0,0,0,,1,0,0,0,5,1,1,1,1,2,5,5,5,1,2,,5,6,5,4,7,6,2,4,4,5,5,6,4,3,4,5,7,5,3,7,7,6,7,4,4,4,6,1,4,7,4,2,5,6,7,4,4,5,4,1,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,1,3,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,24,2,47.7993927,13.04400635,-1,4,6,4,4,5,4,56,4,4,22,80,34,-4.23216,2.8414,-2.31245,0.582451,-1.362917925,0.915039836,-0.744697638,0.187571573,0,1,0,0,0
R_070QXA7QrYr5jP7,Default Response Set,Anonymous,,,2.243.216.27,0,02MAY16:16:34:00,02MAY16:16:43:00,1,400016,2,0,1,,1,0,0,0,,,0,0,0,7,2,1,4,1,4,5,5,5,3,4,,7,7,4,2,7,7,1,2,7,7,7,7,2,6,7,7,5,6,2,7,6,6,7,7,4,7,7,5,1,1,7,2,7,4,6,2,4,6,6,1,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,3,5,4,5,7,7,1,2,2,1,0,47,2,51.58059692,7.659393311,-1,6,7,6,6,6,1,74,6,4,28,89,29,-6.61312,-4.64388,-4.88266,0.0223955,-2.129678412,-1.495507565,-1.572403888,0.00721221,0,1,0,0,0
R_82l9yClbm67NSTz,Default Response Set,Anonymous,,,213.162.68.10,0,02MAY16:16:49:00,02MAY16:16:58:00,1,800020,2,0,1,,0,0,0,0,,,1,0,0,6,3,2,3,3,5,5,5,5,5,2,,7,6,6,2,6,6,1,1,3,7,6,2,3,5,5,7,1,3,3,5,5,7,4,7,3,7,7,1,7,1,5,2,5,5,3,5,6,5,3,1,,,,6,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,4,7,7,7,7,7,7,2,2,3,2,2,2,1,1,1,1,0,37,2,48.19999695,16.36669922,-1,6,7,7,5,5,1,74,3,5,19,74,18,-6.39746,-5.80114,-5.58911,-0.493746,-2.060227617,-1.868189693,-1.799907897,-0.159005159,0,1,0,0,0
R_29OvAa2hAEWyTY1,Default Response Set,Anonymous,,,80.237.251.92,0,02MAY16:18:50:00,02MAY16:18:58:00,1,400025,2,0,1,,0,0,0,0,,,0,0,1,4,2,1,1,2,1,5,5,5,2,4,,5,7,6,3,7,6,3,3,5,4,6,5,5,3,4,4,5,4,4,7,6,5,7,5,3,5,7,6,5,3,5,2,6,6,6,3,5,5,4,1,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,2,1,1,3,7,7,7,7,7,7,2,2,2,2,2,2,2,4,1,1,0,13,4,51.6499939,6.183303833,-1,5,5,5,3,4,3,55,5,5,23,87,29,-7.54017,-0.881327,-2.1734,1.70227,-2.428224087,-0.283821114,-0.699918202,0.548196263,0,1,0,0,0
R_cMfZplTZx0tWdqR,Default Response Set,Anonymous,,,178.142.115.2,0,02MAY16:20:00:00,02MAY16:20:06:00,1,400029,2,0,1,,0,0,0,0,,,0,0,1,5,1,2,3,1,3,5,5,5,2,4,,2,6,2,2,6,5,2,4,4,6,5,4,3,5,6,7,5,7,2,6,6,6,6,5,2,6,4,1,6,4,6,2,5,5,2,3,2,7,5,1,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,5,0,0,0,0,0,0,2,2,1,3,2,2,2,7,2,1,0,21,3,53.10940552,8.781402588,-1,6,6,4,5,6,3,72,5,6,30,60,26,-4.22812,0.564828,0.953074,0.856694,-1.36161689,0.181896291,0.306926401,0.275888343,0,1,0,0,0
