V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apple,Q2_4_5,Q2_4_loquat,Q2_4_rambutan,Q2_4_mangosteen,Q2_4_peach,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_1,Q7_1_2,Q7_1_3,Q7_1_4,Q7_1_5,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q10_2_1,Q10_2_2,Q10_2_3,Q10_2_4,Q10_2_5,Q10_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seeds,WTP_Mon,WTP_Fam,WTP_pub,WTP_seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_7Wg9957NbKV0zfT,Default Response Set,Anonymous,,,,1,30APR16:14:08:00,30APR16:14:12:00,1,0,2,0,1,,0,0,0,0,1,,0,0,0,5,2,1,1,1,2,5,5,5,2,2,,5,2,5,7,4,2,3,5,7,6,6,4,2,3,5,1,6,4,5,1,4,5,3,5,5,7,3,7,6,3,4,2,3,2,4,3,2,5,3,4,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,2,2,3,1,2,7,7,5,4,5,4,2,3,1,2,3,2,1,5,3,1,0,51,5,29.6381073,-82.41410065,-1,1,5,3,6,3,3,53,5,3,20,63,15,-5.8934,-2.26946,-0.49243,0.527847,-2.062547684,-0.794256196,-0.172338609,0.184733703,1,0,0,0,0
R_1esNja9BJyNSham,Default Response Set,Anonymous,,,128.227.185.1,0,25APR16:13:19:00,25APR16:13:20:00,0,0,2,0,1,,0,1,0,0,,,0,0,0,5,3,3,2,3,3,3,3,3,3,2,,5,4,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,2,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,4,4,4,4,4,51,4,4,20,60,22,-3.93861,-1.62947,-0.994017,2.77094,-1.378418389,-0.570275151,-0.347881946,0.969762086,1,0,0,0,0
R_bEnUG1GnJIH0cCx,Default Response Set,Anonymous,,,77.23.51.36,0,02MAY16:15:24:00,02MAY16:15:32:00,1,400004,2,0,1,,0,0,0,0,,,0,0,1,3,3,2,3,2,4,5,5,5,3,4,,3,5,4,5,5,5,4,4,4,5,4,3,5,4,3,3,6,4,4,6,5,5,6,6,2,4,4,2,4,3,3,2,4,5,3,3,4,5,4,1,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,1,1,1,5,0,0,0,0,0,0,2,2,2,2,2,2,2,4,2,2,1,8,3,52.20550537,8.055404663,-1,3,4,4,3,4,2,46,5,6,24,63,23,-1.63299,0.458736,-1.36618,0.946495,-0.571507066,0.160546522,-0.478130009,0.331250394,1,0,0,0,0
R_6nGlVT3FDcHYKWx,Default Response Set,Anonymous,,,213.47.237.17,0,02MAY16:15:24:00,02MAY16:15:35:00,1,800002,2,0,1,,0,0,0,0,,,0,0,1,5,3,3,2,2,2,5,5,5,3,2,,5,5,3,5,5,4,3,4,5,1,6,4,5,3,4,5,5,4,4,6,5,4,6,4,2,5,5,3,5,4,4,2,4,6,4,5,2,5,7,1,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,4,7,7,7,7,7,7,4,2,2,2,3,4,1,1,5,3,2,28,3,47.26669312,11.3999939,-1,3,5,4,3,4,4,50,3,6,25,66,25,-7.1091,-5.05256,-4.69712,0.558772,-2.488013327,-1.768273989,-1.643878572,0.195556707,1,0,0,0,0
R_6P6hcNL5kErkm2h,Default Response Set,Anonymous,,,82.113.99.119,0,02MAY16:15:24:00,02MAY16:15:39:00,1,400007,2,0,1,,0,0,0,0,,,0,0,1,8,2,2,3,1,3,5,5,5,4,4,,1,7,4,5,6,7,4,3,4,5,6,6,5,2,4,4,7,6,4,6,7,7,5,4,1,4,3,1,4,3,4,2,5,6,6,1,5,7,7,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,2,1,5,0,0,0,0,0,0,1,1,1,1,1,1,2,5,2,1,0,51,2,51,9,-1,3,4,5,3,4,4,50,7,7,34,76,26,-1.86308,-1.5532,-0.514949,1.21665,-0.65203301,-0.543582493,-0.180219715,0.42579812,1,0,0,0,0
R_eOF7am9Nf7jAoaV,Default Response Set,Anonymous,,,93.82.19.103,0,02MAY16:15:38:00,02MAY16:15:49:00,1,800009,2,0,1,,0,0,0,0,,,0,0,1,8,2,1,3,1,3,5,5,5,3,2,,7,7,2,5,6,5,4,5,6,2,4,7,5,5,4,4,7,6,6,6,7,7,7,6,3,4,6,1,4,5,4,2,7,7,4,4,1,6,4,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,2,1,2,4,7,7,7,7,4,7,2,3,3,3,3,2,2,5,3,2,1,56,2,47.1157074,15.59010315,-1,3,4,3,3,2,2,44,4,5,25,78,31,-6.4698,1.24446,-3.0718,1.5616,-2.264273765,0.435530948,-1.075055821,0.54652229,1,0,0,0,0
R_3a7WgOPg5GeCc6x,Default Response Set,Anonymous,,,194.96.135.15,0,02MAY16:16:44:00,02MAY16:16:51:00,1,800019,2,0,1,,0,0,0,0,,,0,0,1,4,2,1,1,1,1,5,5,5,3,2,,5,7,3,4,2,5,2,3,6,5,3,6,3,5,5,5,7,4,6,4,6,6,4,5,6,6,7,2,5,7,6,2,6,6,6,4,4,5,5,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,1,1,1,1,5,0,0,0,0,0,0,2,3,3,2,3,2,2,6,2,2,1,11,3,48.19999695,16.36669922,-1,4,6,5,5,2,3,62,4,2,20,79,23,-2.22833,1.42589,-2.00403,0.309538,-0.77986169,0.499027067,-0.701362106,0.108330825,1,0,0,0,0
R_3PJU4JI1zlNZY7b,Default Response Set,Anonymous,,,92.74.241.188,0,02MAY16:16:33:00,02MAY16:17:03:00,1,400013,2,0,1,,0,0,0,0,,,0,0,1,4,2,1,1,1,2,5,4,5,3,4,,6,7,3,2,5,7,4,3,4,6,5,5,3,5,5,7,6,4,4,6,6,7,6,4,4,5,4,2,7,5,5,2,7,6,7,3,4,5,5,1,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,5,0,0,0,0,0,0,1,1,2,1,1,2,2,1,5,2,1,12,5,49.00469971,8.385803223,-1,6,4,5,5,4,4,68,5,4,23,81,27,-7.03017,-3.70278,-0.927172,-2.43891,-2.460389733,-1.295883584,-0.32448781,-0.853559604,1,0,0,0,0
R_eFjynMFSRgiAqIB,Default Response Set,Anonymous,,,77.179.82.129,0,02MAY16:18:37:00,02MAY16:18:47:00,1,400021,2,0,1,,0,1,0,0,,,0,0,0,3,1,1,2,1,5,5,5,5,3,4,,7,7,3,2,5,2,3,4,5,5,7,2,3,2,5,7,4,5,4,2,1,2,5,4,1,6,6,1,5,1,6,2,6,6,5,1,5,1,4,1,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,1,3,2,4,4,3,1,4,3,5,3,5,3,52.51669312,13.3999939,-1,6,5,4,5,4,4,64,7,7,24,67,15,-5.87729,-5.08937,-4.31109,0.447636,-2.056909573,-1.7811566,-1.508777394,0.15666179,1,0,0,0,0
R_0D6fdYfQfy87wOh,Default Response Set,Anonymous,,,84.163.106.16,0,02MAY16:20:48:00,02MAY16:20:56:00,1,400031,2,0,1,,0,0,0,0,,,1,0,0,6,2,1,1,1,4,5,5,5,3,4,,0,0,8,0,0,8,1,5,5,6,5,5,2,6,6,6,5,6,4,7,5,3,4,2,1,7,4,2,7,5,5,2,5,6,2,2,2,6,6,1,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,2,2,1,5,0,0,0,0,0,0,1,1,1,1,1,1,2,1,4,2,2,33,5,51.50439453,7.616699219,-1,8,7,3,6,4,6,77,6,7,31,60,21,-6.38264,-0.523191,1.37693,1.13815,-2.23376987,-0.183104216,0.481892249,0.398325016,1,0,0,0,0
R_cCl10YAEfBpJWCh,Default Response Set,Anonymous,,,62.178.210.17,0,03MAY16:00:41:00,03MAY16:00:49:00,1,800029,2,0,1,,0,0,0,0,,,0,0,1,8,1,1,3,1,2,5,5,5,3,2,,5,5,4,7,4,1,1,4,4,7,5,4,2,6,7,7,7,4,1,2,4,4,7,2,4,7,4,7,7,1,7,2,6,4,5,4,7,4,4,1,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,3,7,7,7,7,7,7,3,3,3,3,3,3,1,5,5,2,1,54,3,48.19999695,16.36669922,-1,1,7,4,6,7,6,79,4,4,20,72,18,-5.63427,-4.0574,-4.1586,0.0857461,-1.971858442,-1.419992021,-1.455409577,0.030009064,1,0,0,0,0
R_ahPOG1ZL74UF95z,Default Response Set,Anonymous,,,95.90.240.244,0,03MAY16:00:41:00,03MAY16:00:51:00,1,400041,2,0,1,,0,0,0,0,,,0,0,1,6,3,1,2,3,3,5,5,5,3,4,,7,7,1,4,7,6,1,4,4,7,6,7,2,7,7,7,7,4,1,7,7,7,7,7,4,7,4,1,7,4,7,2,7,7,7,4,4,5,5,1,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,2,5,0,0,0,0,0,0,3,3,3,3,3,3,2,2,3,2,1,38,2,52.51669312,13.3999939,-1,4,7,4,6,7,1,78,4,4,22,82,32,-1.99469,4.22989,0.0903378,0.392034,-0.698093332,1.480359355,0.031616048,0.137202433,1,0,0,0,0
R_0kf3gn3NfkohRRj,Default Response Set,Anonymous,,,87.245.57.83,0,03MAY16:01:38:00,03MAY16:01:49:00,1,400042,2,0,1,,0,0,0,0,,,0,0,1,3,3,1,3,1,3,5,5,5,3,4,,5,5,3,4,4,4,3,4,5,5,4,5,5,4,4,5,6,6,4,5,6,4,5,5,3,4,4,3,6,3,5,2,4,5,4,3,3,5,6,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,2,1,1,5,0,0,0,0,0,0,3,2,3,2,3,2,1,4,5,3,1,9,4,52.17909241,8.611801147,-1,4,5,4,3,4,3,56,5,5,27,65,22,-6.22239,-0.325842,-0.194046,0.878645,-2.17768624,-0.114036831,-0.067911414,0.307504532,1,0,0,0,0
R_1RhEh49snMr2405,Default Response Set,Anonymous,,,193.171.155.1,0,03MAY16:02:10:00,03MAY16:02:29:00,1,800033,2,0,1,,0,0,0,0,,,0,0,1,4,3,2,2,2,2,5,5,5,3,2,,3,6,6,4,7,5,4,3,4,5,4,5,3,5,6,5,7,4,3,6,5,5,5,4,3,5,3,2,5,4,6,2,4,5,3,3,4,4,5,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,2,5,0,0,0,0,0,0,4,4,4,4,4,4,2,1,2,2,1,11,2,48.19999695,16.36669922,-1,4,4,5,5,5,4,64,5,5,23,66,27,2.82675,-0.106553,-2.42186,0.879162,0.989294239,-0.037290977,-0.847592516,0.30768547,1,0,0,0,0
R_eJ7XuAh5sBftoWx,Default Response Set,Anonymous,,,93.92.162.237,0,03MAY16:03:37:00,03MAY16:03:54:00,1,800039,2,0,1,,0,0,0,0,,,0,0,1,3,2,2,2,1,3,5,5,5,2,2,,3,6,5,3,5,6,3,2,4,5,7,2,3,5,6,5,6,3,2,5,7,6,3,6,4,3,2,2,6,1,5,2,7,3,6,3,5,6,3,1,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,1,5,0,0,0,0,0,0,3,2,3,3,3,1,2,1,4,2,1,10,5,48.23379517,16.2901001,-1,5,5,6,5,6,2,64,5,4,21,75,16,-4.19673,-2.36168,-3.78589,-1.83915,-1.468754156,-0.826530969,-1.324970077,-0.643658088,1,0,0,0,0
R_80m790EIGzpG9kp,Default Response Set,Anonymous,,,146.52.192.15,0,03MAY16:04:39:00,03MAY16:04:46:00,1,400063,2,0,1,,0,0,0,0,,,0,0,1,6,1,1,1,1,2,5,3,5,2,4,,7,5,2,4,7,5,2,3,5,6,4,7,4,5,6,6,6,4,3,7,6,6,6,5,3,6,4,3,5,7,6,2,6,4,7,3,3,5,5,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,3,3,5,5,4,4,5,5,3,3,4,4,4,3,2,1,5,3,2,36,4,49.94740295,11.5993042,-1,4,6,5,4,5,3,67,5,5,24,73,34,-5.82112,-4.29269,-3.92908,-0.197735,-2.03725143,-1.502337839,-1.375083119,-0.069202475,1,0,0,0,0
