V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apple,Q2_4_5,Q2_4_loquat,Q2_4_rambutan,Q2_4_mangosteen,Q2_4_peach,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_1,Q7_1_2,Q7_1_3,Q7_1_4,Q7_1_5,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q10_2_1,Q10_2_2,Q10_2_3,Q10_2_4,Q10_2_5,Q10_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seeds,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Conrol
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,29APR16:16:40:00,29APR16:16:44:00,1,700003,2,0,1,,0,0,0,0,,,0,0,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,6,2,2,6,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,2,2,2,2,2,6,2,6,2,2,4,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,2,2,1,4,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1,6,6,6,6,6,6,50,6,6,18,58,10,-2.65763,-2.18193,-1.34006,1.78131,-0.931015396,-0.764369165,-0.469447023,0.624024803,0,0,1,0,0
R_7NIwYPoMroHLeOF,Default Response Set,Anonymous,,,194.118.141.1,0,02MAY16:15:21:00,02MAY16:15:29:00,1,800001,2,0,1,,0,0,0,0,,,0,0,1,4,2,2,4,1,4,5,5,5,4,2,,6,5,5,2,6,5,2,3,3,5,6,5,5,5,3,6,6,2,5,2,6,6,5,3,3,5,7,3,6,4,3,2,6,5,6,3,3,6,2,1,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,3,2,3,1,1,1,2,3,1,3,5,4,5,3,3,4,2,1,2,1,2,3,1,1,3,2,1,12,5,48.30189514,14.24560547,-1,6,6,5,3,3,5,61,5,5,20,78,22,-5.71403,-2.68772,-2.67237,0.327112,-2.001727067,-0.941556462,-0.936179083,0.114593193,0,0,1,0,0
R_bx9BHzM94hhf165,Default Response Set,Anonymous,,,83.215.130.22,0,02MAY16:15:25:00,02MAY16:15:33:00,1,800004,2,0,0,,0,0,0,0,,,0,0,1,4,1,1,2,1,3,5,5,5,3,2,,5,5,3,5,4,5,5,3,3,4,5,2,5,2,3,4,7,5,5,5,6,5,6,4,5,3,5,3,5,2,4,2,5,5,5,4,3,4,6,1,,,,0,0,4,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,2,1,1,5,0,0,0,0,0,0,2,2,3,3,4,3,2,1,2,4,1,10,3,47.90319824,13.11300659,-1,3,3,5,3,3,4,46,4,3,22,70,19,-5.77375,-0.502009,-1.62054,1.1752,-2.022648053,-0.175862745,-0.567704192,0.411693612,0,0,1,0,0
R_1A0jhRgdnlAnIj3,Default Response Set,Anonymous,,,87.142.219.37,0,02MAY16:15:20:00,02MAY16:15:42:00,1,400001,2,0,1,,0,1,0,0,,,0,0,0,3,3,1,2,1,5,5,5,5,3,4,,6,7,2,2,6,6,1,1,4,4,6,6,4,6,6,6,7,4,2,5,7,4,7,2,6,0,7,7,7,2,7,2,6,6,5,5,5,5,3,1,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,2,2,1,5,0,0,0,0,0,0,3,2,3,3,4,4,1,1,3,3,2,9,2,54.08810425,13.38760376,-1,6,7,7,4,6,6,72,3,2,17,85,26,-3.92148,-1.67673,-1.78211,2.30031,-1.373764691,-0.587388555,-0.624305057,0.8058398,0,0,1,0,0
R_b2bdfWVXB7x7Ngp,Default Response Set,Anonymous,,,185.21.239.77,0,02MAY16:15:40:00,02MAY16:15:47:00,1,800011,2,0,1,,0,0,0,0,,,0,0,1,6,2,1,2,2,3,5,5,5,3,2,,6,7,4,3,3,6,4,0,7,6,6,5,4,5,5,5,5,5,3,3,5,5,6,5,5,5,3,2,3,4,0,2,5,5,3,3,3,4,5,1,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,1,1,3,5,0,0,0,0,0,0,3,3,3,3,4,3,2,6,1,3,2,31,2,47.63330078,13.61669922,-1,5,4,8,4,5,3,58,5,3,22,72,21,-1.74483,-0.713933,0.490884,0.281538,-0.611245205,-0.250103519,0.171965459,0.098627805,0,0,1,0,0
R_bpG0vLtNPy9DbVz,Default Response Set,Anonymous,,,80.110.117.91,0,02MAY16:16:15:00,02MAY16:16:26:00,1,800017,2,0,1,,0,0,0,0,1,,0,0,0,3,1,1,1,1,2,4,5,5,3,2,,7,7,6,4,7,7,3,3,4,5,7,7,4,5,6,5,6,1,4,7,6,7,7,2,5,4,7,2,5,7,5,2,7,6,7,4,4,4,2,2,,,,0,0,5,1,0,0,0,0,0,0,0,0,0,3,3,3,1,3,3,2,3,1,4,4,5,6,7,7,4,3,3,3,5,6,4,2,4,5,3,1,8,5,48.20770264,16.37049866,-1,4,5,5,4,4,6,63,4,3,14,90,35,-4.9593,-3.56823,-3.71589,-0.342727,-1.737331628,-1.250014889,-1.301742832,-0.120063408,0,0,1,0,0
R_dmtr6hSGdGha1vL,Default Response Set,Anonymous,,,87.150.246.30,0,02MAY16:15:38:00,02MAY16:17:31:00,1,400011,2,0,1,,0,0,0,0,,,0,0,1,5,2,2,1,2,2,5,5,5,3,4,,6,5,4,3,7,6,1,3,4,6,3,6,2,6,6,7,7,6,2,7,5,6,7,2,4,6,5,1,7,6,5,2,6,6,5,3,2,7,5,1,,,,0,0,7,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,2,2,1,2,7,6,7,7,7,7,1,2,3,2,2,2,1,1,4,4,3,23,2,49.09669495,8.489593506,-1,5,7,5,6,6,6,78,5,4,27,71,33,-6.94534,-1.11271,-1.31883,1.20467,-2.433077017,-0.389802246,-0.462009774,0.422017481,0,0,1,0,0
R_0D6dh2aiTSoJwbP,Default Response Set,Anonymous,,,84.114.20.133,0,02MAY16:19:06:00,02MAY16:19:17:00,1,800023,2,0,1,,0,0,0,0,,,0,0,1,6,3,3,4,3,4,5,5,4,3,2,,6,7,5,2,5,6,2,2,7,6,6,3,5,5,5,7,7,5,3,3,7,6,6,2,4,6,7,5,6,1,6,2,6,6,5,2,5,6,5,1,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,2,1,1,5,0,0,0,0,0,0,4,4,4,3,3,3,1,6,3,2,2,34,2,48.23379517,16.2901001,-1,6,6,6,3,5,6,73,6,4,26,91,18,-2.59529,1.07215,-3.29709,0.749608,-0.909176578,0.375593351,-1.155029689,0.262601111,0,0,1,0,0
R_doIgFsiVQkP9Agt,Default Response Set,Anonymous,,,80.110.99.60,0,02MAY16:20:55:00,02MAY16:21:02:00,1,800026,2,0,1,,0,1,0,0,,,0,0,0,3,3,3,3,4,2,5,5,5,3,2,,6,7,6,2,3,6,1,1,7,7,5,5,3,7,6,7,7,3,1,5,3,4,6,1,6,7,7,1,7,1,7,2,7,7,6,6,6,4,3,1,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,2,3,3,3,3,1,1,6,7,6,7,7,7,1,2,2,1,3,3,2,4,1,1,0,7,3,48.23379517,16.2901001,-1,6,7,7,5,7,7,87,2,2,14,85,20,-3.59111,-2.95022,-0.733356,-0.645485,-1.258030162,-1.033514915,-0.256907744,-0.226124958,0,0,1,0,0
R_bJyhPomce0gZ2sd,Default Response Set,Anonymous,,,84.145.202.94,0,02MAY16:22:40:00,02MAY16:23:10:00,1,400035,2,0,1,1,0,0,0,0,,,0,0,0,4,1,1,3,1,4,5,5,5,2,4,,6,7,3,4,6,5,3,5,3,2,5,5,5,5,5,5,7,7,3,6,6,7,6,3,3,3,2,2,3,5,5,2,6,6,3,2,3,6,6,1,,,,0,0,2,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,2,1,2,5,0,0,0,0,0,0,5,4,4,4,2,1,2,5,3,3,2,19,2,51.46859741,11.26879883,-1,4,5,3,3,5,5,53,6,5,30,71,28,-6.80039,2.1903,-2.75585,1.61738,-2.382298436,0.767301326,-0.965423622,0.566597187,0,0,1,0,0
R_elff2QS3w96Ehjn,Default Response Set,Anonymous,,,93.194.33.247,0,03MAY16:01:41:00,03MAY16:01:51:00,1,400047,2,0,1,,0,0,0,0,,,0,0,1,5,2,1,1,1,2,5,5,5,2,4,,6,7,6,3,4,7,5,3,2,5,7,5,3,5,5,7,7,5,2,4,7,7,6,3,5,3,7,1,7,2,5,2,7,7,7,3,7,5,5,1,,,,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,2,2,2,1,1,2,2,5,0,0,0,0,0,0,2,1,3,2,2,2,1,5,1,1,0,29,2,52.51669312,13.3999939,-1,5,3,5,5,6,5,66,5,3,23,92,21,-1.76147,1.50457,0.415533,0.757873,-0.617074495,0.527077823,0.145568654,0.265496488,0,0,1,0,0
R_1GMcLFsYKW9OPe5,Default Response Set,Anonymous,,,193.154.17.22,0,03MAY16:02:04:00,03MAY16:02:14:00,1,800032,2,0,1,,1,0,1,1,,1,0,1,0,2,1,2,1,1,3,5,2,5,3,2,,7,7,4,4,7,7,2,4,7,6,7,5,3,7,5,6,7,4,4,7,7,6,7,2,4,7,7,2,7,2,6,2,7,7,7,1,5,4,4,1,,,,0,0,7,1,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,3,3,1,3,4,4,4,4,4,4,2,4,4,2,1,1,2,4,1,2,1,5,3,46.96470642,15.4178009,-1,4,6,4,5,4,6,73,7,4,23,94,28,-6.07236,-4.25086,-4.70122,0.137262,-2.127256485,-1.489152406,-1.646921581,0.048085337,0,0,1,0,0
