V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apples,Q2_4_blueberries,Q2_4_feijoas,Q2_4_rambutan,Q2_4_loquat,Q2_4_peaches,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q3_8,Q3_8_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_iron,Q7_1_vitC,Q7_1_potassium,Q7_1_calcium,Q7_1_vitD,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q9_2_1,Q9_2_2,Q9_2_3,Q9_2_4,Q9_2_5,Q9_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_7,Q11_8,Q11_8_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_1BW3Nyt2KIehlEp,Default Response Set,Anonymous,,,83.34.103.41,0,04MAY16:10:45:00,04MAY16:10:57:00,1,600007,2,0,1,,0,,,,,,,,1,4,1,1,1,2,2,1,5,5,1,5,,4,5,3,5,7,4,4,5,5,4,5,4,4,4,3,4,7,5,4,6,7,4,6,4,4,3,5,2,4,6,4,2,5,5,5,4,4,5,4,1,,1,,0,0,0,0,0,0,1,1,1,1,1,2,1,0,0,2,2,2,2,2,1,1,1,2,3,4,4,4,4,4,4,1,7,1,1,1,1,2,1,4,2,1,11,2,,43.48320007,-8.2368927,-1,3,4,3,4,4,4,48,4,4,22,70,29,-1.16319,4.45994,-1.46673,0.59546,-0.407419212,1.56213967,-0.513737207,0.208565965,0,0,0,1,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,3,1,3,2,1,3,1,3,3,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,-2.33106,-6.47986,-2.08555,-0.451433,-0.816477643,-2.269637341,-0.730485251,-0.158119032,0,0,0,1,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,-5.58303,-5.23688,-4.34651,-0.376236,-1.955513446,-1.834270863,-1.52240965,-0.131780513,0,0,0,1,0
R_6kUXTrD3tG3IvzL,Default Response Set,Anonymous,,,37.222.220.5,0,04MAY16:15:51:00,04MAY16:15:57:00,1,600040,2,0,1,,0,,,,,,,,1,4,2,1,1,1,3,5,5,2,3,5,,5,7,4,1,6,7,1,1,6,7,7,5,1,7,6,7,7,6,1,6,7,6,7,1,3,7,4,2,7,5,5,2,2,5,5,3,3,6,4,1,,1,,0,0,0,0,0,0,1,3,3,2,3,3,1,0,0,2,2,2,1,1,2,2,1,1,5,0,0,0,0,0,0,2,2,2,2,2,2,2,1,2,1,0,17,5,,38.99420166,-1.856399536,-1,7,7,7,7,7,7,88,5,5,26,77,29,-8.02554,-0.884904,-1.87889,1.75716,-2.811027594,-0.30994669,-0.658100469,0.615463289,0,0,0,1,0
R_4ZKz9aEjwdaVp1r,Default Response Set,Anonymous,,,84.120.85.212,0,04MAY16:15:43:00,04MAY16:15:58:00,1,600036,2,0,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,3,6,6,2,6,6,2,2,6,3,6,2,2,6,3,6,7,7,2,6,2,5,6,2,1,3,6,2,6,6,4,2,6,6,6,5,6,7,3,1,,3,,0,0,0,0,0,0,2,1,2,1,2,1,1,0,0,2,2,2,2,2,2,1,1,1,5,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,2,21,5,,38.39639282,-0.525497437,-1,6,6,6,6,6,6,67,3,7,27,79,26,-2.47037,1.42187,1.20838,0.852402,-0.865272397,0.498024532,0.423247473,0.298562532,0,0,0,1,0
R_dbRVpt56kUuiPKR,Default Response Set,Anonymous,,,85.57.115.14,0,04MAY16:16:18:00,04MAY16:16:32:00,1,600047,2,0,1,,0,,,,,,,,1,8,1,5,1,1,3,5,5,5,3,5,,6,5,5,2,4,6,1,2,3,4,6,2,4,5,5,5,6,5,2,5,4,4,5,3,2,6,5,5,5,4,5,2,4,6,7,1,4,5,6,1,,1,,0,0,0,0,0,0,2,2,2,2,2,5,1,0,0,3,3,3,3,3,3,3,3,3,5,0,0,0,0,0,0,4,4,4,3,4,4,1,5,5,4,1,51,4,,39.89160156,-5.540603638,-1,6,7,6,4,6,5,69,7,6,29,76,20,-4.46975,-3.72307,-4.30876,-2.19055,-1.565575723,-1.304043404,-1.509187326,-0.767262576,0,0,0,1,0
R_aXAScbBGBhBHXTv,Default Response Set,Anonymous,,,37.134.197.88,0,04MAY16:17:17:00,04MAY16:17:36:00,1,600067,2,0,1,,0,,,,,,,,1,8,1,1,1,1,5,5,5,5,2,5,,3,6,6,4,3,6,4,6,4,6,6,3,4,5,3,6,7,5,3,4,6,6,7,3,2,4,3,2,4,1,5,2,6,6,4,3,3,6,4,1,,1,,0,0,0,0,0,0,4,4,4,4,4,2,1,0,0,2,2,2,2,2,2,2,2,2,4,6,6,6,6,7,7,2,2,2,2,2,2,1,5,5,3,1,61,2,,40.41650391,-3.702606201,-1,4,4,2,4,5,5,57,5,6,26,74,18,-6.47376,0.0773724,0.259477,0.265726,-2.267500753,0.027100476,0.090884477,0.093073253,0,0,0,1,0
R_9yszVA0jSrN3Sct,Default Response Set,Anonymous,,,137.101.103.38,0,04MAY16:18:01:00,04MAY16:18:12:00,1,600071,2,0,1,,0,,,,,,,,1,4,2,1,1,1,5,5,5,5,2,5,,6,6,5,3,6,5,3,4,6,5,5,5,3,5,5,6,5,7,3,6,5,5,7,5,2,5,4,2,6,6,5,2,5,5,6,2,4,6,6,1,,1,,0,0,0,0,0,0,4,2,3,2,3,5,1,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,2,2,3,2,4,4,2,1,3,2,1,20,4,,40.41650391,-3.702606201,-1,5,5,4,5,5,3,64,6,6,31,74,30,-5.14308,-6.1318,-5.83336,0.216736,-1.801416452,-2.14772576,-2.043194093,0.075914004,0,0,0,1,0
R_eLJNpBc9ELuzeQZ,Default Response Set,Anonymous,,,91.117.157.56,0,04MAY16:18:40:00,04MAY16:18:51:00,1,600081,2,0,1,,0,,,,,,,,1,4,1,1,2,1,3,5,5,5,1,5,,5,6,3,2,6,6,2,3,4,6,3,5,4,7,7,7,7,6,2,6,6,5,6,2,4,7,2,2,7,6,7,2,7,6,5,3,3,6,6,1,,1,,0,0,0,0,0,0,2,1,2,2,2,3,1,0,0,2,1,2,1,1,2,2,1,1,4,3,2,2,3,2,2,1,1,1,1,1,1,1,1,3,4,3,17,4,,41.90559387,-8.857894897,-1,6,6,5,4,6,6,81,5,4,27,70,29,-4.03927,-1.91637,-3.67432,1.59748,-1.414795693,-0.671228223,-1.286968217,0.559533734,0,0,0,1,0
R_didAqhOerdGvcmF,Default Response Set,Anonymous,,,87.217.169.157,0,04MAY16:19:20:00,04MAY16:19:33:00,1,600091,2,0,1,,0,,,,,,,,1,3,2,2,3,2,5,5,5,5,4,5,,6,6,4,4,7,6,3,2,4,4,6,5,4,4,5,5,7,5,2,6,6,7,6,4,3,6,3,1,5,6,6,2,6,5,4,3,4,4,3,1,,1,,0,0,0,0,0,0,3,3,4,3,4,3,1,0,0,2,2,2,2,2,2,2,2,2,5,0,0,0,0,0,0,2,2,2,2,2,2,2,6,1,3,2,8,2,,28.06059265,-15.54910278,-1,4,5,6,4,6,4,64,5,5,22,75,30,-6.02921,2.23037,0.961557,1.75472,-2.111792562,0.781209939,0.336795189,0.614608654,0,0,0,1,0
