V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apples,Q2_4_blueberries,Q2_4_feijoas,Q2_4_rambutan,Q2_4_loquat,Q2_4_peaches,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q3_8,Q3_8_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_iron,Q7_1_vitC,Q7_1_potassium,Q7_1_calcium,Q7_1_vitD,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q9_2_1,Q9_2_2,Q9_2_3,Q9_2_4,Q9_2_5,Q9_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_7,Q11_8,Q11_8_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_1Ifa9nloxPD3hch,Default Response Set,Anonymous,,,148.3.148.77,0,04MAY16:10:44:00,04MAY16:10:50:00,1,600003,2,0,1,,0,,,,,,,,1,4,3,2,2,2,5,3,5,5,3,5,,5,5,4,4,5,5,3,4,4,5,6,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,4,3,5,4,5,2,5,5,6,4,5,5,4,1,,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,2,2,2,2,2,2,2,1,2,2,1,16,3,,40.41650391,-3.702606201,-1,4,5,4,4,4,4,60,4,4,22,72,24,-1.95124,-0.913162,-1.0337,1.07157,-0.692253111,-0.323967957,-0.366731945,0.380167312,0,0,0,0,1
R_cI1Sf3LQE9atHWB,Default Response Set,Anonymous,,,46.25.73.98,0,04MAY16:10:45:00,04MAY16:11:03:00,1,600008,2,0,1,,0,,,,,,,,1,4,2,2,2,2,4,5,5,5,2,5,,5,6,3,2,5,5,2,2,5,5,6,3,3,5,5,5,6,4,4,6,5,3,6,3,4,5,5,5,5,3,5,2,5,4,6,3,5,3,3,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,2,2,1,1,2,2,1,1,5,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,3,1,11,5,,40.41720581,-3.684005737,-1,6,6,6,5,4,5,67,5,4,19,74,23,-6.51054,-1.0754,-1.86627,0.76784,-2.309783303,-0.381526104,-0.662107795,0.2724112,0,0,0,0,1
R_bem4doN0RXpNqFT,Default Response Set,Anonymous,,,194.224.155.83,0,04MAY16:11:38:00,04MAY16:11:53:00,1,600015,2,0,1,,0,,,,,,,,1,5,2,1,1,2,4,5,5,5,3,5,,5,5,3,2,0,4,2,2,4,2,5,4,2,2,6,2,6,5,2,6,2,6,6,2,4,2,4,3,2,3,4,2,4,4,6,2,1,7,6,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,1,2,2,2,2,2,2,1,1,1,0,27,4,,40.41720581,-3.684005737,-1,6,6,6,6,6,6,56,6,4,28,62,19,-1.48684,-1.02566,-1.21629,0.380186,-0.52749514,-0.363879546,-0.431510494,0.134880866,0,0,0,0,1
R_5BHXXzvWvA2EODr,Default Response Set,Anonymous,,,83.38.235.61,0,04MAY16:12:40:00,04MAY16:12:49:00,1,600026,2,0,1,,0,,,,,,,,1,7,1,1,1,1,3,5,5,5,3,5,,2,7,2,2,7,7,1,2,6,7,7,2,2,5,6,6,7,6,2,6,6,7,7,2,2,6,7,1,6,6,7,2,6,7,5,1,5,7,6,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,2,2,2,1,4,1,2,1,1,3,2,45,3,,43.40739441,-3.884994507,-1,6,7,6,6,6,6,80,7,6,32,82,28,-5.29907,-4.45309,-4.40679,-0.54242,-1.879982829,-1.579849433,-1.563423305,-0.192437595,0,0,0,0,1
R_b7WgpsaL2U7t3Zr,Default Response Set,Anonymous,,,90.174.144.249,0,04MAY16:15:42:00,04MAY16:15:53:00,1,600031,2,0,1,,0,,,,,,,,1,3,1,1,1,2,3,5,5,5,3,5,,6,7,5,1,6,7,1,2,7,7,7,1,2,6,7,7,7,3,2,6,7,6,7,2,5,7,7,1,7,5,7,2,7,7,7,1,7,3,3,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,3,2,1,1,1,2,1,1,5,0,0,0,0,0,0,3,2,4,2,3,2,2,2,2,2,1,9,2,,40.08590698,-3.87109375,-1,7,7,6,6,6,6,86,7,3,19,95,25,-6.68156,0.201845,-4.47757,0.666586,-2.370457093,0.071609761,-1.588534349,0.236488711,0,0,0,0,1
R_50f2pLXoMAydxUF,Default Response Set,Anonymous,,,85.52.149.203,0,04MAY16:15:43:00,04MAY16:15:55:00,1,600033,2,0,1,,0,,,,,,,,1,4,2,1,1,1,3,5,5,5,3,5,,6,7,5,1,7,7,2,1,3,7,7,2,3,7,7,6,7,5,4,7,5,5,6,2,4,7,5,5,7,7,7,2,6,7,5,5,4,5,5,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,2,2,1,1,2,2,2,1,4,5,4,7,4,6,7,2,2,2,2,2,2,2,1,3,4,3,18,4,,37.1882019,-3.606704712,-1,7,6,7,5,4,6,83,3,4,22,84,29,-5.33404,-3.02535,-1.03714,1.39829,-1.892389345,-1.073321555,-0.367952375,0.496079725,0,0,0,0,1
R_5A9la9cVdyF4dhP,Default Response Set,Anonymous,,,188.78.143.35,0,04MAY16:16:40:00,04MAY16:16:47:00,1,600057,2,0,1,,0,,,,,,,,1,6,1,1,1,1,3,5,5,5,1,5,,6,6,6,2,6,6,1,3,4,7,6,5,1,7,6,7,6,4,1,6,6,5,6,1,4,7,6,4,7,2,7,2,5,6,6,5,4,5,4,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,2,1,1,2,2,2,1,5,0,0,0,0,0,0,1,1,1,2,2,2,1,1,4,3,2,36,4,,42.81689453,-1.643203735,-1,6,7,5,7,7,7,87,3,4,20,82,25,-6.22256,-2.26842,-1.84886,1.60288,-2.207614912,-0.804780961,-0.655931145,0.568663346,0,0,0,0,1
R_6xjy05HY7bPFz2B,Default Response Set,Anonymous,,,84.123.18.43,0,04MAY16:16:43:00,04MAY16:16:53:00,1,600064,2,0,1,,0,,,,,,,,1,5,1,2,1,2,5,5,5,5,3,5,,7,7,6,1,5,7,1,1,6,7,7,2,1,7,7,7,3,3,1,6,6,6,7,1,5,7,5,2,7,4,7,2,7,7,5,4,7,4,5,6,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,3,3,1,1,3,2,3,1,1,7,7,7,7,7,7,4,5,4,6,7,7,1,6,1,4,1,29,2,,39.46980286,-0.37739563,-1,7,7,7,7,7,7,91,4,3,19,88,24,-5.3185,-5.72515,-5.12843,-0.550202,-1.886876126,-2.031145785,-1.819443853,-0.195198462,0,0,0,0,1
R_bKJiHvPn338OKAR,Default Response Set,Anonymous,,,90.74.224.240,0,04MAY16:18:09:00,04MAY16:18:29:00,1,600073,2,0,1,,0,,,,,,,,1,6,1,1,1,1,5,5,5,5,1,5,,6,7,1,3,4,6,4,4,4,2,4,2,3,4,4,5,7,5,3,5,5,5,5,3,3,4,5,4,4,3,3,2,5,7,6,3,3,5,4,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,4,4,4,4,4,4,2,6,2,4,2,35,2,,40.41650391,-3.702606201,-1,5,4,4,5,5,5,54,5,5,24,75,19,-1.90831,-1.29735,-1.71648,0.872043,-0.677022578,-0.460268636,-0.608965899,0.309379923,0,0,0,0,1
R_1KP3hfguKFBabNb,Default Response Set,Anonymous,,,81.38.11.185,0,04MAY16:18:41:00,04MAY16:18:47:00,1,600083,2,0,1,,0,,,,,,,,1,5,2,1,3,3,5,5,5,5,3,5,,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,2,2,1,1,2,2,5,0,0,0,0,0,0,5,4,4,4,5,4,2,1,4,3,2,20,2,,37.38240051,-5.976104736,-1,4,4,4,4,4,4,52,4,4,20,59,21,1.11203,-1.63982,-2.18808,0.438815,0.394521549,-0.581768771,-0.776278258,0.155681028,0,0,0,0,1
