V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apples,Q2_4_blueberries,Q2_4_feijoas,Q2_4_rambutan,Q2_4_loquat,Q2_4_peaches,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q3_8,Q3_8_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_iron,Q7_1_vitC,Q7_1_potassium,Q7_1_calcium,Q7_1_vitD,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q9_2_1,Q9_2_2,Q9_2_3,Q9_2_4,Q9_2_5,Q9_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_7,Q11_8,Q11_8_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_eA0ed1dE133UyYl,Default Response Set,Anonymous,,,84.126.33.115,0,04MAY16:10:45:00,04MAY16:10:55:00,1,600009,2,0,1,,1,,,,,,,,0,6,1,2,3,1,5,5,5,5,3,5,,4,6,4,2,4,6,2,3,5,5,5,2,3,5,6,6,6,5,2,5,6,5,6,2,5,6,4,3,6,2,6,2,5,6,5,4,3,5,4,1,,1,,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,2,2,1,5,0,0,0,0,0,0,2,2,3,2,2,3,1,2,2,1,0,38,4,,39.46670532,-0.366699219,-1,6,6,5,5,6,6,74,4,3,21,73,19,-6.29107,-2.6237,-1.38448,1.55023,-2.271128006,-0.947177277,-0.499808666,0.559645779,0,1,0,0,0
R_9T7lNlnmJfxjZzL,Default Response Set,Anonymous,,,80.103.111.58,0,04MAY16:11:38:00,04MAY16:11:51:00,1,600016,2,0,1,,0,,,,,,,,1,8,2,1,1,2,4,5,5,5,3,5,,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,5,5,4,5,4,4,5,4,4,4,3,4,4,4,4,2,5,4,4,3,4,5,5,1,,1,,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,2,1,1,5,0,0,0,0,0,0,4,4,4,4,4,4,2,5,1,1,0,53,1,,40.41650391,-3.702606201,-1,4,4,4,4,4,4,52,5,4,24,61,22,-2.89551,-1.05199,-3.20966,0.908361,-1.045302922,-0.379777041,-1.158713655,0.327925791,0,1,0,0,0
R_85DpIRdK6GIlvvv,Default Response Set,Anonymous,,,85.54.239.70,0,04MAY16:12:04:00,04MAY16:12:13:00,1,600023,2,0,1,,0,,,,,,,,1,3,3,2,2,2,3,5,5,5,2,5,,4,5,4,4,6,4,4,4,4,5,4,4,4,4,4,5,5,5,4,6,5,5,5,5,4,4,5,4,4,5,4,2,4,5,5,3,3,5,5,1,,1,,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,1,1,1,1,1,1,2,6,2,4,1,9,4,,40.41720581,-3.684005737,-1,4,4,4,4,4,3,53,5,4,24,66,26,-1.55518,-0.470005,-0.638883,0.898461,-0.561432769,-0.16967567,-0.230642017,0.32435181,0,1,0,0,0
R_428wY5a0wJRLwjz,Default Response Set,Anonymous,,,62.99.118.10,0,04MAY16:15:44:00,04MAY16:15:55:00,1,600038,2,0,1,,0,,,,,,,,1,4,1,1,1,2,2,5,5,5,3,5,,5,6,6,3,7,6,1,2,5,6,6,4,2,7,7,7,6,5,3,7,6,7,5,3,2,7,6,3,7,6,6,2,1,7,6,2,7,6,5,1,,1,,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,2,1,1,4,3,3,3,2,3,4,2,2,2,2,2,3,1,1,4,3,2,20,4,,43.26269531,-2.925292969,-1,5,7,6,6,5,5,81,6,6,28,83,29,-2.33284,0.369781,-1.75089,0.408773,-0.842174425,0.133493982,-0.632085689,0.147570415,0,1,0,0,0
R_0MwNn4BQOcSjypn,Default Response Set,Anonymous,,,83.35.38.53,0,04MAY16:16:02:00,04MAY16:16:11:00,1,600044,2,0,1,,0,,,,,,,,1,8,2,1,1,1,5,5,5,5,3,5,,5,7,4,5,7,6,4,4,5,5,3,4,5,4,5,5,7,6,3,7,5,6,7,4,2,5,5,1,5,6,3,2,5,7,4,3,3,5,5,1,,1,,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,2,1,1,4,4,3,3,3,3,3,3,3,3,3,3,3,2,5,3,3,1,53,1,,38.42799377,-0.398696899,-1,3,4,4,3,5,4,55,5,6,27,73,31,-6.54903,-0.459605,-2.87134,0.659363,-2.364253688,-0.165921185,-1.036577353,0.238035465,0,1,0,0,0
R_1BqohMsp9sPGzIx,Default Response Set,Anonymous,,,84.126.165.237,0,04MAY16:16:40:00,04MAY16:16:50:00,1,600058,2,0,1,,0,,,,,,1,,0,5,3,1,2,3,5,5,5,5,3,5,,1,2,4,3,2,6,4,4,1,1,7,4,1,2,1,1,1,2,3,1,2,2,1,2,1,2,4,5,2,3,5,2,1,1,6,2,6,1,1,1,,3,,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,4,4,4,4,4,4,4,1,2,3,2,4,3,1,1,2,4,3,19,1,,39.3999939,-0.416702271,-1,5,4,4,7,5,6,45,6,7,17,49,11,-2.08799,-0.94434,-1.92685,0.583437,-0.753781561,-0.340914506,-0.695608696,0.210625555,0,1,0,0,0
R_eWhkB1eNgl2ypBH,Default Response Set,Anonymous,,,85.84.237.189,0,04MAY16:16:39:00,04MAY16:16:51:00,1,600056,2,0,1,,0,,,,,,,,1,6,1,1,1,1,4,5,5,5,2,5,,0,0,8,0,0,8,3,3,5,6,6,2,2,4,6,6,7,4,1,7,7,7,7,5,4,7,6,1,7,6,7,2,6,3,6,5,6,4,4,1,,3,,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,1,2,1,2,5,0,0,0,0,0,0,2,2,1,1,3,4,1,3,4,3,2,31,1,,43.03179932,-2.409194946,-1,8,5,5,6,7,3,77,3,4,19,76,22,-6.60053,1.84769,-0.555835,-0.424014,-2.382845611,0.667031285,-0.200661006,-0.153072541,0,1,0,0,0
R_bHtn6Xsf4TALdR3,Default Response Set,Anonymous,,,90.71.168.254,0,04MAY16:18:20:00,04MAY16:18:33:00,1,600078,2,0,1,1,0,,,,,,,,0,8,1,1,1,1,5,5,5,5,1,5,,3,5,5,5,7,5,3,3,3,3,5,3,5,5,5,5,6,5,3,5,5,5,5,3,3,6,5,2,6,3,6,2,5,6,6,3,5,5,3,1,,2,,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,2,1,1,4,5,5,6,5,5,5,4,4,5,5,4,4,2,5,4,5,1,54,1,,40.41720581,-3.684005737,-1,3,5,5,3,5,5,62,5,5,23,71,23,-5.95453,-0.584674,-2.95737,0.900639,-2.149634299,-0.211072122,-1.067634891,0.325138086,0,1,0,0,0
R_a4C0cj3dpex61iR,Default Response Set,Anonymous,,,212.225.205.14,0,04MAY16:18:43:00,04MAY16:18:50:00,1,600086,2,0,1,,0,,,,,,,,1,4,1,2,1,1,2,4,5,5,1,5,,6,7,6,1,6,7,1,1,7,7,7,4,1,7,7,7,7,5,2,6,6,6,5,1,3,7,5,3,7,2,7,2,7,6,6,3,7,5,2,6,,1,,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,1,2,2,2,1,4,5,5,5,4,5,6,1,1,1,1,1,1,1,4,2,5,1,12,2,,37.89160156,-4.772705078,-1,7,7,7,7,6,7,90,5,5,22,93,23,-6.75595,-2.48324,0.16728,0.521788,-2.438953509,-0.896470062,0.060389456,0.188369759,0,1,0,0,0
R_3XbnFUkq5A6aJ3T,Default Response Set,Anonymous,,,88.22.162.12,0,04MAY16:18:59:00,04MAY16:19:14:00,1,600090,2,0,1,,0,,,,,,,,1,4,1,3,1,3,3,5,5,5,3,5,,6,7,5,2,7,7,2,3,4,6,6,5,2,4,5,6,6,5,3,7,6,7,7,2,5,6,4,2,6,7,5,2,5,5,6,5,3,3,4,1,,3,,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,2,1,3,1,2,5,0,0,0,0,0,0,3,3,3,3,4,3,2,1,4,3,1,18,2,,41.38879395,2.158996582,-1,6,6,5,6,5,6,72,3,3,18,79,33,-4.03722,2.91064,-3.95247,-0.646848,-1.457469621,1.050764976,-1.426874174,-0.233517448,0,1,0,0,0
