V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apples,Q2_4_blueberries,Q2_4_feijoas,Q2_4_rambutan,Q2_4_loquat,Q2_4_peaches,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q3_8,Q3_8_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_iron,Q7_1_vitC,Q7_1_potassium,Q7_1_calcium,Q7_1_vitD,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q9_2_1,Q9_2_2,Q9_2_3,Q9_2_4,Q9_2_5,Q9_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_7,Q11_8,Q11_8_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_6XspdH4Qjv8Miyh,Default Response Set,Anonymous,,,88.5.252.25,0,04MAY16:10:44:00,04MAY16:10:49:00,1,600004,2,0,1,,0,,,,,,,,1,6,4,3,4,4,5,5,5,5,4,5,,6,7,5,2,3,7,1,1,4,6,6,4,3,6,7,7,7,5,1,4,7,7,6,2,1,7,6,1,7,1,7,2,6,7,7,3,3,7,6,1,,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,3,1,1,1,5,0,0,0,0,0,0,1,2,2,2,5,5,1,6,1,1,0,31,3,,42.23280334,-8.722595215,-1,6,7,7,5,7,6,85,5,7,30,86,18,-0.838004,-1.37099,-1.18039,-0.275066,-0.31097999,-0.508769,-0.438038089,-0.102075911,1,0,0,0,0
R_6yFl1VviiRFBROZ,Default Response Set,Anonymous,,,87.221.186.147,0,04MAY16:11:38:00,04MAY16:11:49:00,1,600012,2,0,1,,0,,,,,,,,1,5,1,1,1,1,2,5,5,5,3,5,,4,6,7,5,7,7,3,5,1,2,5,6,6,4,3,3,7,7,5,5,7,5,7,3,1,3,7,1,4,6,7,2,4,7,7,1,2,7,7,1,,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,1,1,1,2,4,3,2,1,2,4,3,4,3,2,4,5,5,1,1,3,3,2,22,2,,38.09519958,-3.636001587,-1,3,5,3,2,3,5,47,7,7,35,77,31,-0.207617,2.57916,-1.40046,0.575125,-0.077045853,0.957116138,-0.519705201,0.213426627,1,0,0,0,0
R_efaKI48YvYcpI2h,Default Response Set,Anonymous,,,85.84.122.138,0,04MAY16:11:39:00,04MAY16:11:51:00,1,600021,2,0,1,,0,,,,,,,,1,4,1,1,2,1,5,5,5,5,3,5,,5,6,6,1,5,4,2,3,2,4,5,1,3,5,6,6,6,5,1,7,4,4,4,4,4,7,7,3,6,5,7,2,4,5,4,2,4,4,6,1,,2,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,2,1,2,1,1,4,7,6,5,7,7,7,2,3,4,2,3,3,2,6,1,4,2,11,4,,43.26089478,-2.938796997,-1,7,6,5,5,7,4,75,6,4,25,69,22,-3.86214,0.0194806,-0.419518,-0.878343,-1.433224973,0.007229174,-0.155681481,-0.325949635,1,0,0,0,0
R_1LAPjmfHaRGELoF,Default Response Set,Anonymous,,,88.15.53.178,0,04MAY16:12:05:00,04MAY16:12:12:00,1,600025,2,0,1,,0,,,,,,,,1,4,1,1,1,1,2,5,5,5,3,5,,6,7,6,3,7,7,2,2,4,7,6,6,2,6,6,6,7,4,2,7,6,6,6,2,4,6,6,2,2,6,6,2,7,6,6,2,5,5,5,1,,1,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,4,4,4,4,4,4,2,2,3,4,2,19,3,,39.46670532,-0.366699219,-1,5,6,6,6,6,6,74,6,4,24,87,32,-4.20263,-3.66208,-3.62151,-0.187899,-1.559579474,-1.358983494,-1.343928126,-0.06972858,1,0,0,0,0
R_2aDJGYm1DBBlDDv,Default Response Set,Anonymous,,,95.22.142.214,0,04MAY16:15:43:00,04MAY16:15:52:00,1,600035,2,0,1,,0,,,,,,,,1,5,1,1,1,1,2,5,5,5,1,5,,7,7,2,4,6,7,3,2,5,5,6,5,2,3,4,5,7,6,4,7,7,7,6,3,2,4,4,1,3,6,5,2,7,7,6,2,4,7,6,1,,3,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,2,4,3,4,3,3,4,3,2,2,2,2,2,2,1,1,4,3,2,22,4,,40.41720581,-3.684005737,-1,4,5,6,6,4,5,59,6,6,31,84,30,-1.85104,1.6655,-0.124808,0.831073,-0.686913668,0.618060504,-0.046315758,0.308407924,1,0,0,0,0
R_cIqKnugOyKgus97,Default Response Set,Anonymous,,,84.76.84.224,0,04MAY16:16:07:00,04MAY16:16:20:00,1,600046,2,0,1,,0,,,,,,,,1,8,1,1,1,2,3,5,5,5,3,5,,5,5,5,3,6,5,2,3,4,6,5,6,4,5,7,5,6,6,3,6,6,3,7,3,1,6,3,2,6,6,6,2,5,7,4,2,3,6,6,1,,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,4,6,6,6,6,7,6,1,1,1,1,2,2,2,3,2,3,1,53,1,,39.15220642,-3.024307251,-1,5,6,5,4,5,5,71,6,7,31,68,31,-3.17245,1.01623,0.916032,-0.051474,-1.177283725,0.377118959,0.339935875,-0.019101799,1,0,0,0,0
R_0HWEOfACxZk0qK9,Default Response Set,Anonymous,,,81.33.82.102,0,04MAY16:16:38:00,04MAY16:16:44:00,1,600055,2,0,1,,0,,,,,,,,1,5,1,1,1,1,2,4,5,5,1,5,,5,5,3,3,7,3,4,5,5,4,4,4,4,5,5,5,3,5,6,6,5,5,7,4,4,7,2,3,3,5,6,2,5,5,3,4,3,4,5,1,,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,2,1,1,3,4,4,3,3,4,3,2,2,3,2,2,2,1,1,5,4,3,25,4,,42.6000061,-5.570297241,-1,5,4,3,4,2,4,57,4,4,22,59,29,-1.36801,-0.968377,-4.02701,0.18696,-0.507663134,-0.359360898,-1.494407582,0.069380121,1,0,0,0,0
R_2gl72ZLbsycIkzb,Default Response Set,Anonymous,,,77.228.40.199,0,04MAY16:16:34:00,04MAY16:17:01:00,1,600052,2,0,1,,0,,,,,,,,1,5,1,1,1,1,2,5,5,5,2,5,,5,6,4,4,5,4,3,4,4,6,7,4,4,6,7,5,7,5,4,5,5,5,7,4,2,7,4,1,3,5,7,2,7,5,4,3,4,7,6,1,,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,1,2,2,1,1,5,0,0,0,0,0,0,3,3,2,3,2,2,1,1,2,2,1,28,1,,40.34579468,-3.824905396,-1,4,5,4,4,4,4,66,5,6,29,72,26,-4.71985,-3.61526,-1.81519,0.265919,-1.751517783,-1.341608776,-0.673609874,0.098681496,1,0,0,0,0
R_0Ve7vIDtsrzRAGh,Default Response Set,Anonymous,,,95.22.70.24,0,04MAY16:17:16:00,04MAY16:17:34:00,1,600066,2,0,1,,0,,,,,,1,,0,6,1,1,1,3,4,5,5,5,3,5,,1,7,6,1,6,7,1,1,1,1,7,5,1,4,7,7,7,4,1,6,7,7,6,1,4,6,6,1,2,4,1,2,4,6,6,5,4,6,4,6,,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,3,37,2,,40.41650391,-3.702606201,-1,7,7,7,7,7,7,70,3,4,21,77,27,-4.81479,-3.93839,-3.67309,-0.524329,-1.786749644,-1.461521049,-1.363069261,-0.194576431,1,0,0,0,0
R_eDruZZstPFSBThz,Default Response Set,Anonymous,,,212.21.233.68,0,04MAY16:18:41:00,04MAY16:18:53:00,1,600084,2,0,1,,0,,,,,,,,1,4,1,1,1,1,5,5,5,5,3,5,,7,7,6,3,7,6,6,4,3,2,7,4,5,3,3,3,7,5,2,7,6,6,7,6,2,3,6,3,4,5,3,2,5,6,7,5,3,6,4,6,,1,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,1,2,1,1,4,4,4,4,4,4,4,1,1,1,1,1,4,2,1,2,2,1,18,4,,42.81689453,-1.643203735,-1,5,2,4,3,6,2,43,3,6,24,85,30,-4.19323,0.222438,-1.78563,-0.149486,-1.556091171,0.082545867,-0.662640274,-0.055473667,1,0,0,0,0
