V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apples,Q2_4_blueberries,Q2_4_feijoas,Q2_4_rambutan,Q2_4_loquat,Q2_4_peaches,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q3_8,Q3_8_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_iron,Q7_1_vitC,Q7_1_potassium,Q7_1_calcium,Q7_1_vitD,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q9_2_1,Q9_2_2,Q9_2_3,Q9_2_4,Q9_2_5,Q9_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_7,Q11_8,Q11_8_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_cHNSc2UGwfP4Lzf,Default Response Set,Anonymous,,,92.59.194.96,0,04MAY16:10:44:00,04MAY16:10:52:00,1,600006,2,0,1,,0,,,,,,,,1,3,2,1,1,2,4,5,5,5,3,5,,7,6,4,4,3,5,5,4,4,5,4,5,3,5,6,6,7,6,2,6,5,5,5,4,4,5,3,3,5,4,5,2,5,6,2,2,4,6,5,1,,1,,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2,1,1,5,0,0,0,0,0,0,6,6,6,6,6,5,2,4,1,4,1,9,7,grado univ,41.31689453,2.016799927,-1,4,3,4,5,6,4,63,6,4,27,70,23,-3.8089,-0.648311,-4.37385,0.890352,-1.355268214,-0.230679538,-1.55628656,0.31680164,0,0,1,0,0
R_0dKJbae2tQEXmzX,Default Response Set,Anonymous,,,80.28.196.48,0,04MAY16:11:38:00,04MAY16:11:45:00,1,600013,2,0,1,,0,,,,,,,,1,5,2,1,1,2,2,5,5,5,2,5,,5,6,3,3,6,5,2,5,2,6,4,5,5,4,6,5,6,5,2,6,5,5,6,4,6,6,5,3,6,5,6,2,5,3,7,2,3,6,5,1,,3,,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,1,1,1,4,3,4,3,4,4,2,3,3,2,2,2,3,2,1,6,4,3,21,4,,40.41650391,-3.702606201,-1,5,6,3,3,6,4,66,6,2,24,67,28,-0.746107,-1.52341,-0.962034,-0.484426,-0.265476936,-0.542053913,-0.342307254,-0.172366605,0,0,1,0,0
R_4UilXopJ0KNMZOl,Default Response Set,Anonymous,,,62.43.69.61,0,04MAY16:11:38:00,04MAY16:11:51:00,1,600018,2,0,1,,0,,,,,,,,1,8,1,1,1,1,5,5,5,5,1,5,,4,4,4,2,6,2,1,4,2,6,4,4,2,5,7,7,4,5,3,4,4,4,7,5,2,7,4,2,7,4,7,2,2,7,4,6,3,6,5,1,,1,,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,1,2,5,0,0,0,0,0,0,3,3,3,3,3,3,1,5,4,2,1,55,3,,39.56939697,2.65020752,-1,6,7,4,6,5,3,77,2,6,24,54,25,-4.64911,2.38529,-0.688336,-0.335534,-1.654228519,0.848724755,-0.24492108,-0.119388423,0,0,1,0,0
R_a47uLGn32Og5aQt,Default Response Set,Anonymous,,,81.44.141.21,0,04MAY16:15:42:00,04MAY16:15:48:00,1,600034,2,0,1,,0,,,,,,,,1,4,1,1,1,1,1,5,5,5,2,5,,6,7,6,1,5,7,1,1,5,7,7,5,1,7,7,7,7,3,1,5,6,7,7,1,5,7,5,2,7,2,7,2,7,5,6,5,6,4,2,1,,1,,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,1,2,2,5,0,0,0,0,0,0,2,2,3,3,3,4,1,1,4,3,2,13,3,,40.41650391,-3.702606201,-1,7,7,7,7,7,7,91,3,3,15,89,24,-3.46448,0.403056,1.24978,2.74854,-1.232718009,0.143413843,0.444691934,0.977974979,0,0,1,0,0
R_cP8Wreqzfm46HC5,Default Response Set,Anonymous,,,84.124.251.111,0,04MAY16:15:40:00,04MAY16:15:53:00,1,600027,2,0,1,,0,,,,,,,,1,5,2,1,1,1,2,5,5,2,1,5,,7,7,3,5,7,6,3,5,6,5,7,5,4,4,5,4,7,4,4,6,7,7,5,4,1,6,4,5,6,5,6,2,7,7,5,2,4,5,6,1,,1,,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,4,5,5,4,5,4,4,4,4,4,4,4,4,2,1,3,4,3,26,2,,38.99420166,-1.856399536,-1,3,5,3,4,4,4,59,6,7,28,89,28,-4.63944,-4.65212,-4.67794,-1.05188,-1.650787777,-1.655299526,-1.6644867,-0.374275914,0,0,1,0,0
R_5mOf0JHnww3sJ81,Default Response Set,Anonymous,,,88.11.152.48,0,04MAY16:16:05:00,04MAY16:16:17:00,1,600045,2,0,1,,0,,,,,,,,1,8,1,1,1,1,4,5,5,5,4,5,,6,6,3,5,7,5,2,3,5,6,5,1,5,1,4,4,6,3,2,6,6,7,7,3,4,3,2,2,5,6,5,2,7,7,5,5,3,5,5,1,,5,,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,3,2,3,1,2,3,1,5,0,0,0,0,0,0,2,5,4,4,4,4,2,5,3,2,1,56,4,,42.81689453,-1.643203735,-1,3,6,5,3,6,5,56,3,4,20,75,27,-1.7272,-3.0653,-1.34015,-1.47215,-0.614565691,-1.090683309,-0.476847042,-0.523814776,0,0,1,0,0
R_bHHQBx5eLHzBxzf,Default Response Set,Anonymous,,,77.73.161.72,0,04MAY16:16:26:00,04MAY16:16:38:00,1,600048,2,0,1,,0,,,,,,,,1,8,1,1,1,3,4,5,5,5,3,5,,6,6,3,3,4,5,4,3,4,7,5,5,4,5,6,2,5,5,4,5,7,7,7,3,4,6,3,3,5,2,6,2,5,6,4,2,4,6,5,1,,1,,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,4,6,6,6,6,7,6,2,2,2,2,2,2,1,5,5,2,1,55,3,,41.64529419,-0.884902954,-1,5,4,5,4,4,5,64,6,4,26,73,23,-3.9286,-4.6405,-1.8457,-3.09148,-1.39785941,-1.651164942,-0.656729907,-1.099998577,0,0,1,0,0
R_2bJDLP5mtei4HGt,Default Response Set,Anonymous,,,85.55.244.198,0,04MAY16:17:03:00,04MAY16:17:16:00,1,600065,2,0,1,,0,,,,,,,,1,7,1,1,1,1,4,5,5,5,3,5,,4,5,2,3,3,1,2,3,2,5,3,3,3,4,5,6,2,7,3,4,4,5,7,4,1,6,4,1,7,3,6,2,2,5,3,2,1,7,6,1,,1,,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,2,1,1,1,2,2,2,1,5,0,0,0,0,0,0,3,4,3,3,4,2,1,1,3,2,1,50,2,,42.04820251,2.264007568,-1,5,6,5,5,5,4,69,6,7,33,44,20,-3.82417,-4.47864,-1.15502,0.929163,-1.360701527,-1.593572537,-0.410974794,0.330611221,0,0,1,0,0
R_e9b6ix0cWRWgHUV,Default Response Set,Anonymous,,,83.32.114.106,0,04MAY16:17:21:00,04MAY16:17:49:00,1,600068,2,0,1,,0,,,,,,1,,0,6,2,1,1,1,3,5,5,5,3,5,,5,6,4,3,7,6,1,3,6,4,5,3,4,5,7,6,6,5,2,6,6,5,7,2,1,6,4,2,5,6,5,2,0,0,8,0,8,0,0,1,,1,,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,3,1,4,4,4,5,4,5,5,2,1,2,2,2,2,1,1,2,4,2,37,2,,28.47689819,-16.41020203,-1,5,7,5,4,6,6,71,8,7,20,71,29,-4.86639,-3.96376,-3.72783,-2.50826,-1.731540257,-1.410369906,-1.326422197,-0.892479469,0,0,1,0,0
R_9N9olAp06cJ6M0l,Default Response Set,Anonymous,,,213.143.50.135,0,04MAY16:18:11:00,04MAY16:18:33:00,1,600075,2,0,1,,0,,,,,,,,1,7,1,1,1,2,2,2,5,5,1,5,,6,6,5,4,5,5,2,3,4,3,6,3,4,3,5,5,4,5,4,5,6,6,6,3,4,5,3,2,5,6,4,2,5,7,3,1,5,7,3,1,,1,,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,2,2,5,0,0,0,0,0,0,3,2,2,2,2,2,2,1,2,1,0,42,3,,40.41650391,-3.702606201,-1,4,6,5,4,4,5,58,7,4,26,73,25,-2.86714,0.288851,-1.60715,2.91611,-1.020174777,0.102777857,-0.571849959,1.037599095,0,0,1,0,0
