V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apples,Q2_4_blueberries,Q2_4_feijoas,Q2_4_rambutan,Q2_4_loquat,Q2_4_peaches,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q3_8,Q3_8_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_iron,Q7_1_vitC,Q7_1_potassium,Q7_1_calcium,Q7_1_vitD,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q9_2_1,Q9_2_2,Q9_2_3,Q9_2_4,Q9_2_5,Q9_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_8_TEXT,Q11_9,Q11_10_1,Q11_10_2,Q11_10_3,Q11_10_4,Q11_10_5,Q11_10_6,Q11_10_6_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_25BSTuHADOT4PAx,Default Response Set,Anonymous,,,72.230.219.144,0,02MAY16:15:34:00,02MAY16:15:46:00,1,200010,2,0,1,0,,0,,,,0,0,,1,7,2,1,2,2,2,5,5,5,3,9,,5,7,3,3,7,5,1,2,3,6,5,5,2,5,5,5,7,5,3,7,5,5,7,5,3,5,3,6,6,3,5,2,7,6,6,3,6,6,7,1,,2,,0,0,0,0,0,0,1,1,2,2,2,3,1,0,0,2,1,2,2,1,2,3,3,1,5,0,0,0,0,0,0,3,4,3,4,2,3,1,1,1,2,1,33,47,2,,2,1,,,,,,,42.32299805,-75.50740051,-1,5,7,6,6,5,3,69,5,5,28,79,29,-2.76838,-2.05644,-1.41413,0.672382,-0.78807685,-0.585408346,-0.402561468,0.191407498,0,0,0,1,0
R_6ncaci1GKuVhTbD,Default Response Set,Anonymous,,,68.3.137.87,0,02MAY16:18:38:00,02MAY16:18:45:00,1,200030,2,0,1,0,,0,,,,0,0,,1,8,4,3,3,4,2,5,5,5,4,9,,5,5,4,4,1,4,4,4,4,4,4,1,4,4,4,4,7,4,4,1,5,4,4,4,4,4,4,4,4,1,4,2,4,6,4,4,4,4,4,1,,1,,0,0,0,0,0,0,2,2,2,2,2,5,1,0,0,3,3,3,1,1,3,3,3,1,4,4,4,5,4,4,4,3,4,4,4,4,4,2,5,6,1,0,3,59,3,,2,1,,,,,,,33.6118927,-111.8906021,-1,4,4,4,4,4,4,52,4,4,20,68,8,-3.88895,-3.9075,-3.61266,-0.1461,-1.107070368,-1.11235101,-1.028418682,-0.041590399,0,0,0,1,0
R_b2sZs56ZvEnt4Yl,Default Response Set,Anonymous,,,104.54.224.192,0,02MAY16:18:39:00,02MAY16:18:48:00,1,200040,2,0,1,0,,0,,,,0,0,,1,5,1,1,1,1,3,5,5,5,3,9,,6,6,5,3,2,6,1,2,5,5,5,2,4,4,4,4,6,5,3,2,4,6,6,3,2,6,5,6,5,1,5,2,4,6,5,2,5,6,3,1,,1,,0,0,0,0,0,0,3,3,3,3,3,2,1,0,0,2,1,2,2,1,2,1,1,1,4,6,3,7,6,7,7,2,2,2,2,2,2,1,1,6,2,1,45,27,4,,2,1,,,,,,,30.44160461,-97.59860229,-1,5,7,6,4,5,5,65,6,6,26,80,13,-2.44243,-0.747332,-0.548936,1.25344,-0.695288414,-0.212743571,-0.156266031,0.356817722,0,0,0,1,0
R_eFNG2HKkYe7Qc0R,Default Response Set,Anonymous,,,71.92.78.74,0,02MAY16:20:43:00,02MAY16:20:54:00,1,200064,2,0,1,0,,0,,,,0,0,,1,5,3,1,2,3,4,5,5,5,2,9,,5,5,5,2,7,6,3,3,7,3,6,6,3,4,4,4,5,3,4,7,3,5,3,5,3,4,6,4,4,6,5,2,5,6,7,4,4,5,2,2,,1,,0,0,0,0,0,0,2,3,2,3,2,2,1,0,0,2,3,2,1,2,1,3,1,2,3,4,4,7,5,5,6,2,2,4,2,3,3,2,1,7,2,1,5,23,5,,2,1,,,,,,,34.10809326,-118.2286987,-1,6,5,5,5,4,3,56,4,5,19,79,29,-4.19733,3.35642,-3.03553,-0.465949,-1.194857138,0.955474646,-0.864126644,-0.132642058,0,0,0,1,0
R_do1WwKzjqQhRgX3,Default Response Set,Anonymous,,,107.77.168.50,0,02MAY16:20:52:00,02MAY16:21:05:00,1,200073,2,0,1,0,,0,,,,0,0,,1,3,4,2,2,2,5,5,5,5,4,9,,4,5,4,4,7,5,2,4,4,5,4,4,4,3,5,5,7,5,4,7,4,6,6,3,5,6,5,3,5,5,6,2,4,6,5,2,4,6,6,1,,5,,0,0,0,0,0,0,3,3,3,3,3,2,1,0,0,1,2,2,1,1,1,2,1,1,5,0,0,0,0,0,0,1,3,4,4,2,4,2,2,1,2,2,1,7,2,,2,1,,,,,,,37.75100708,-97.8219986,-1,4,6,4,4,4,5,62,6,3,26,70,29,-3.76614,-0.641816,-2.27208,1.50611,-1.072109951,-0.182706251,-0.64679475,0.428745484,0,0,0,1,0
R_6sSDnIf3qWxKGyN,Default Response Set,Anonymous,,,71.28.184.159,0,02MAY16:20:42:00,02MAY16:21:07:00,1,200063,1,1,1,0,,0,,,,0,0,,1,7,2,1,1,1,1,5,5,5,3,9,,5,5,2,5,7,5,5,5,2,6,3,6,5,4,7,4,6,7,5,7,6,7,7,4,7,4,3,2,4,5,4,2,5,7,4,1,1,7,7,1,,2,,0,0,0,0,0,0,2,2,2,2,2,4,1,0,0,2,1,2,1,1,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,1,11,48,3,,2,1,,,,,,,34.62219238,-83.7901001,-1,3,3,3,3,3,4,52,7,1,29,63,32,-3.83723,-1.52336,-2.86098,1.66245,-1.092347196,-0.433656055,-0.814437362,0.473250912,0,0,0,1,0
R_5i5w2TrgeIr5Q8J,Default Response Set,Anonymous,,,64.222.232.156,0,02MAY16:20:56:00,02MAY16:21:11:00,1,200080,2,0,1,0,1,0,,,,0,0,,0,8,2,2,1,3,3,5,5,5,3,9,,5,6,4,2,4,6,2,2,4,6,6,3,1,6,7,7,6,5,1,5,6,6,7,2,6,7,4,1,7,1,7,2,6,4,5,3,6,4,4,1,,4,,0,0,0,0,0,0,2,3,2,2,2,4,1,0,0,2,3,2,3,1,3,2,3,1,5,0,0,0,0,0,0,4,5,4,4,4,4,1,5,3,2,1,30,51,2,,2,1,,,,,,,44.28419495,-71.68689728,-1,6,6,6,7,7,6,85,5,2,20,75,20,-5.29861,-1.62597,-4.62844,-0.0809848,-1.508359357,-0.462866122,-1.317581551,-0.023054005,0,0,0,1,0
R_3mGssD2LOo6RTk9,Default Response Set,Anonymous,,,184.189.69.24,0,02MAY16:20:59:00,02MAY16:21:53:00,1,200086,2,0,1,0,,0,,,,0,0,,1,7,1,1,2,1,2,5,5,5,1,9,,3,4,5,4,7,4,5,5,4,4,4,4,4,4,4,4,6,6,5,7,5,3,7,5,4,4,4,2,4,2,3,2,4,6,4,3,4,6,5,1,,2,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,3,3,2,2,6,3,1,5,4,2,1,19,51,4,,2,1,,,,,,,30.21609497,-92.26750183,-1,4,3,3,4,3,3,47,5,4,26,62,27,-4.63099,-5.4547,-3.97892,-0.0791295,-1.318307462,-1.552793617,-1.132682196,-0.022525855,0,0,0,1,0
R_0v5P4IHQNPxNaVn,Default Response Set,Anonymous,,,173.94.68.170,0,02MAY16:21:44:00,02MAY16:22:06:00,1,200097,2,0,1,0,1,0,,,,0,0,,0,2,3,2,2,2,2,5,5,5,2,9,,4,6,5,4,7,4,5,3,4,4,5,4,5,4,6,4,7,2,4,7,5,4,7,5,6,5,4,2,5,7,4,2,6,4,4,7,4,1,1,1,,5,,0,0,0,0,0,0,1,1,1,1,1,4,1,0,0,2,1,2,1,1,2,2,1,2,5,0,0,0,0,0,0,4,4,4,4,4,4,2,1,1,2,1,34,5,2,,2,1,,,,,,,35.89399719,-80.56140137,-1,4,3,5,3,4,3,54,1,2,7,68,32,-3.20002,0.565078,-2.62532,1.36569,-0.910952138,0.160861186,-0.74735185,0.388772016,0,0,0,1,0
R_9NMHewHy3qqVMup,Default Response Set,Anonymous,,,72.216.32.148,0,02MAY16:23:41:00,02MAY16:23:50:00,1,200119,2,0,1,0,,0,,,,0,0,,1,6,1,2,2,3,2,5,5,5,3,9,,6,6,5,1,7,6,1,1,6,7,6,5,1,7,7,7,7,4,1,7,5,4,4,1,4,6,5,3,7,5,7,2,6,6,5,3,3,5,5,1,,4,,0,0,0,0,0,0,1,1,1,1,1,6,1,0,0,3,3,3,3,1,3,2,3,3,4,6,6,7,7,7,7,4,2,4,2,3,3,2,2,4,3,1,10,32,2,,2,1,,,,,,,30.45199585,-86.6292038,-1,7,7,7,7,7,7,90,5,4,23,79,28,-4.11955,-3.667,-2.76673,-1.232,-1.172715446,-1.043887692,-0.787607143,-0.350714381,0,0,0,1,0
R_dj3Erp6WoHKzSSx,Default Response Set,Anonymous,,,73.221.2.6,0,03MAY16:00:41:00,03MAY16:00:56:00,1,200129,2,0,1,0,1,0,,,,0,0,,0,5,1,1,1,1,5,5,5,5,1,9,,4,6,4,2,7,4,3,2,5,5,6,4,3,4,5,5,5,4,2,7,5,4,7,3,4,5,4,4,5,4,5,2,5,5,3,3,3,5,5,2,,3,,0,0,0,0,0,0,3,3,3,3,3,6,1,0,0,3,3,3,3,3,3,2,3,3,4,6,6,6,6,6,6,1,1,1,1,1,1,2,1,3,2,1,49,24,4,,2,0,,1,,,,,47.61019897,-122.3042984,-1,6,5,6,5,6,5,67,5,4,23,67,29,-4.76543,-4.21121,-3.33637,-1.71602,-1.356578599,-1.198808368,-0.949766997,-0.488500724,0,0,0,1,0
R_5ANtDgOdpdYqSY5,Default Response Set,Anonymous,,,96.41.5.244,0,03MAY16:03:39:00,03MAY16:03:47:00,1,200155,2,0,1,0,,0,,,,0,0,,1,4,3,1,3,3,3,5,5,5,3,9,,6,6,2,2,1,6,1,2,6,6,6,7,2,6,6,6,6,7,2,6,6,6,6,4,2,6,4,2,7,1,6,2,6,7,2,1,2,7,7,1,,1,,0,0,0,0,0,0,1,1,2,1,1,6,1,0,0,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,2,2,2,2,4,2,1,1,3,1,0,5,19,4,,2,0,,1,,,,,34.09049988,-118.1343994,-1,6,7,6,6,6,4,78,7,6,34,73,21,-3.82424,-3.74715,-3.95596,-0.180928,-1.088649323,-1.066704053,-1.126146156,-0.051504912,0,0,0,1,0
R_25ZK8jTMovggdvv,Default Response Set,Anonymous,,,108.225.66.217,0,03MAY16:04:46:00,03MAY16:04:51:00,1,200170,2,0,1,0,,0,,,,0,0,,1,4,1,1,2,1,1,5,5,5,2,9,,6,7,6,1,7,7,1,1,6,7,7,5,1,7,7,7,7,5,1,6,7,7,7,1,4,7,7,7,0,2,7,2,7,7,7,7,7,5,6,1,,2,,0,0,0,0,0,0,2,2,1,2,1,7,1,0,0,3,3,3,1,1,3,2,3,1,2,6,7,7,7,6,7,5,4,4,4,3,4,1,1,4,3,1,45,11,2,,2,1,,,,,,,35.16130066,-101.8789978,-1,7,7,7,7,7,7,84,1,4,21,102,27,-5.00002,-6.84728,-4.5423,-0.0781068,-1.423359514,-1.949220429,-1.293060011,-0.022234722,0,0,0,1,0
R_78ObgstuxCL5KPr,Default Response Set,Anonymous,,,24.74.113.54,0,03MAY16:05:50:00,03MAY16:05:59:00,1,200186,2,0,1,0,,0,,,,0,0,,1,8,3,3,2,3,5,5,5,5,3,9,,7,7,4,1,6,7,1,1,5,7,7,4,1,6,7,7,7,3,1,6,6,7,6,3,6,7,4,3,7,4,7,2,7,7,4,5,5,4,4,1,,1,,0,0,0,0,0,0,2,1,3,2,1,6,1,0,0,3,3,3,3,3,3,2,3,1,4,4,3,4,4,4,4,3,3,4,4,3,4,2,5,4,2,1,34,53,2,,2,0,1,,,,,,35.33999634,-80.21080017,-1,7,7,7,7,7,5,88,3,2,16,87,26,-2.81694,-4.41251,-2.76396,-1.31818,-0.801900462,-1.256112593,-0.786818605,-0.375247308,0,0,0,1,0
