V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apples,Q2_4_blueberries,Q2_4_feijoas,Q2_4_rambutan,Q2_4_loquat,Q2_4_peaches,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q3_8,Q3_8_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_iron,Q7_1_vitC,Q7_1_potassium,Q7_1_calcium,Q7_1_vitD,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q9_2_1,Q9_2_2,Q9_2_3,Q9_2_4,Q9_2_5,Q9_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_8_TEXT,Q11_9,Q11_10_1,Q11_10_2,Q11_10_3,Q11_10_4,Q11_10_5,Q11_10_6,Q11_10_6_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_54S5QlKd19tmazj,Default Response Set,Anonymous,,,104.55.232.27,0,02MAY16:15:27:00,02MAY16:15:37:00,1,200009,2,0,1,0,,0,,,,0,0,,1,8,2,1,1,1,3,5,5,5,3,9,,6,6,1,3,5,6,1,1,6,7,3,5,3,6,7,7,7,5,2,7,6,6,3,2,2,7,3,2,7,5,7,2,5,7,2,2,3,6,6,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,1,1,1,2,1,1,3,6,7,6,4,4,5,4,2,3,2,4,1,2,3,3,3,1,23,53,4,,2,1,,,,,,,42.32519531,-83.34529877,-1,5,7,7,5,6,6,84,6,6,29,69,25,-4.46708,-0.437022,-2.61682,0.887132,-1.48086218,-0.144875254,-0.867490569,0.294089255,0,0,0,0,1
R_6rRtDg7hfXZxIl7,Default Response Set,Anonymous,,,216.230.226.42,0,02MAY16:16:37:00,02MAY16:16:46:00,1,200017,2,0,1,0,,0,,,,0,0,,1,6,1,1,1,1,2,5,5,5,1,9,,6,7,3,5,7,3,4,4,6,5,2,7,5,5,5,6,7,5,4,7,7,7,7,5,6,5,2,1,6,7,6,2,5,5,3,5,4,6,6,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,2,2,2,2,1,2,1,2,2,4,4,4,4,4,4,1,1,1,1,1,2,2,1,6,4,2,45,33,6,,1,1,,,,,,,29.9342041,-95.40570068,-1,3,4,4,3,4,3,59,3,2,22,68,35,-3.64982,1.49003,-1.5437,0.421784,-1.209935887,0.493953337,-0.511745245,0.139823772,0,0,0,0,1
R_0N6DYhpcg27SBCJ,Default Response Set,Anonymous,,,65.78.84.25,0,02MAY16:18:39:00,02MAY16:18:45:00,1,200036,2,0,1,0,,0,,,,0,0,,1,8,3,3,1,4,4,5,5,5,4,9,,5,6,5,4,1,6,3,3,4,4,5,3,4,3,4,5,4,4,3,1,5,5,2,3,3,5,6,5,5,1,4,2,4,5,6,3,3,5,4,1,,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,2,1,2,2,1,2,5,0,0,0,0,0,0,2,2,3,2,3,3,2,5,6,2,1,39,56,5,,2,1,,,,,,,40.64149475,-75.2276001,-1,4,5,5,4,5,5,58,5,5,23,74,8,-3.33796,0.687439,-1.32568,1.64153,-1.10655254,0.2278899,-0.439470387,0.544176441,0,0,0,0,1
R_brBnj4V0RLGzTnv,Default Response Set,Anonymous,,,71.30.237.81,0,02MAY16:18:37:00,02MAY16:19:00:00,1,200026,2,0,1,0,,0,,,,0,0,,1,7,3,1,4,5,4,5,5,5,4,9,,5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,5,3,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,1,,5,local,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,3,3,1,1,3,2,3,1,4,4,3,3,4,3,4,3,3,3,3,3,3,2,5,2,2,1,39,47,5,,2,1,,,,,,,40.80760193,-79.42199707,-1,4,4,4,4,4,5,53,4,4,20,64,22,-4.12021,-4.4304,-4.1307,-0.0746943,-1.365872821,-1.468702553,-1.369350315,-0.024761581,0,0,0,0,1
R_9n7BPM99M3JcnHv,Default Response Set,Anonymous,,,24.63.205.143,0,02MAY16:20:40:00,02MAY16:20:53:00,1,200054,2,0,1,0,,0,,,,0,0,,1,8,3,1,2,2,3,5,5,5,3,9,,5,6,4,6,7,5,5,5,5,2,4,5,6,2,2,2,7,4,5,5,6,4,4,5,2,2,2,2,3,3,3,2,3,7,4,2,3,6,5,1,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,3,2,1,3,1,1,1,4,2,1,4,2,4,4,3,2,4,2,3,4,2,5,6,2,1,7,55,5,,2,1,,,,,,,41.456604,-72.81030273,-1,2,3,3,2,3,3,32,6,6,27,67,24,-1.47729,-0.893475,-2.17953,0.0481719,-0.489729956,-0.296191995,-0.722526471,0.015969256,0,0,0,0,1
R_78LkN4zpVSHNt3v,Default Response Set,Anonymous,,,50.147.216.121,0,02MAY16:20:48:00,02MAY16:21:00:00,1,200070,2,0,1,0,,0,,,,0,0,,1,8,3,3,3,3,4,5,5,5,3,9,,3,6,7,2,5,6,1,1,1,7,4,3,1,5,7,7,2,6,7,6,4,5,4,7,4,6,1,4,6,1,7,2,4,7,4,6,3,6,6,1,,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,3,2,1,3,1,1,1,2,3,2,3,3,4,4,3,2,2,3,1,2,1,5,3,2,1,11,54,3,,2,0,1,,,,,,33.58470154,-84.27100372,-1,6,7,7,7,1,1,74,2,4,24,61,19,-2.39105,-1.48446,-1.53566,-0.0826251,-0.792646542,-0.492106851,-0.509079939,-0.027390686,0,0,0,0,1
R_2rYvwm52GmTVMSV,Default Response Set,Anonymous,,,99.126.121.98,0,02MAY16:20:47:00,02MAY16:21:02:00,1,200067,2,0,1,0,,0,,,,0,0,,1,8,2,1,3,2,5,5,5,5,4,9,,5,6,2,4,7,5,1,5,6,7,3,2,5,4,5,5,7,6,4,5,0,5,7,4,3,5,1,1,6,1,6,2,5,7,4,4,2,7,5,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,1,1,3,1,1,1,2,5,2,2,1,34,51,2,,2,0,1,,,,,,35.186203,-80.74790192,-1,4,7,3,3,4,4,63,4,5,27,59,22,-5.06073,-4.72286,-3.68036,0.278722,-1.677660498,-1.56565469,-1.220060069,0.092397913,0,0,0,0,1
R_1BNanCoRife9kXz,Default Response Set,Anonymous,,,50.141.98.194,0,02MAY16:21:06:00,02MAY16:21:14:00,1,200090,2,0,1,0,,0,,,,0,0,1,0,6,1,1,1,1,1,5,5,5,1,9,,7,7,6,1,7,7,1,2,7,7,7,4,1,2,7,2,5,7,1,4,6,6,6,2,3,6,7,7,6,3,4,2,7,7,7,7,7,7,6,2,,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,3,3,3,1,3,2,3,1,1,7,7,7,7,7,7,1,1,1,1,2,1,1,1,7,1,0,38,40,4,,2,1,,,,,,,45.54789734,-122.5014954,-1,7,7,6,7,7,6,74,1,5,26,100,24,-4.17641,-4.01427,-3.28203,-1.15397,-1.384503438,-1.330753114,-1.08801143,-0.382547554,0,0,0,0,1
R_a3mt6a1jPuJDnoN,Default Response Set,Anonymous,,,72.0.186.15,0,02MAY16:21:41:00,02MAY16:21:48:00,1,200093,2,0,1,0,,0,,,,0,0,,1,7,3,4,3,4,5,5,5,5,3,9,,4,5,5,4,4,4,4,4,4,4,5,3,4,4,4,4,6,5,4,2,4,5,4,4,4,5,5,4,4,1,4,2,4,6,5,3,5,5,5,1,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,3,1,1,3,2,3,1,5,0,0,0,0,0,0,4,4,4,4,4,4,2,6,1,1,0,38,43,3,,2,1,,,1,,,,44.26280212,-121.226799,-1,4,4,4,4,4,4,53,5,4,24,71,14,-5.46446,-6.12563,-3.44304,-0.103404,-1.811499267,-2.030680846,-1.141387152,-0.034279008,0,0,0,0,1
R_blt9N6iRcVSc5Bb,Default Response Set,Anonymous,,,73.52.0.142,0,02MAY16:23:40:00,02MAY16:23:46:00,1,200115,2,0,1,0,,0,,,,0,0,,1,6,1,1,2,2,2,5,5,5,2,9,,6,4,3,6,6,3,5,4,4,6,3,7,7,4,6,4,7,7,4,6,5,5,7,4,5,3,3,1,4,4,5,2,4,0,2,1,4,7,7,1,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,3,1,1,3,3,3,1,5,0,0,0,0,0,0,4,2,3,3,2,4,2,3,3,4,3,39,31,2,,2,1,,,,,,,41.42460632,-75.70570374,-1,2,3,4,1,4,4,50,7,3,31,54,30,-4.61544,-4.22265,-3.00336,-0.64369,-1.530044355,-1.399832258,-0.995630756,-0.21338686,0,0,0,0,1
