V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apples,Q2_4_blueberries,Q2_4_feijoas,Q2_4_rambutan,Q2_4_loquat,Q2_4_peaches,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q3_8,Q3_8_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_iron,Q7_1_vitC,Q7_1_potassium,Q7_1_calcium,Q7_1_vitD,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q9_2_1,Q9_2_2,Q9_2_3,Q9_2_4,Q9_2_5,Q9_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_8_TEXT,Q11_9,Q11_10_1,Q11_10_2,Q11_10_3,Q11_10_4,Q11_10_5,Q11_10_6,Q11_10_6_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_2t2yDyOU777a3id,Default Response Set,Anonymous,,,70.210.69.170,0,02MAY16:15:19:00,02MAY16:15:29:00,1,200002,2,0,1,0,,0,,,,1,0,,0,7,3,1,3,2,3,5,5,5,4,9,,6,7,4,5,5,7,2,4,4,5,6,2,4,4,4,4,7,4,3,5,5,5,5,3,4,5,5,4,5,3,5,2,5,5,6,4,4,5,5,3,,5,huntington,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,2,1,2,3,4,4,5,5,4,4,3,3,3,3,3,3,2,1,4,2,1,23,48,2,,2,1,,,,,,,42.5368042,-83.14640045,-1,3,6,4,4,5,5,59,4,4,22,80,20,-6.06147,0.247342,-1.04265,1.66769,-1.67105557,0.068188447,-0.28744283,0.459756901,0,1,0,0,0
R_3DixOTcuKyGVkNL,Default Response Set,Anonymous,,,76.8.144.236,0,02MAY16:15:26:00,02MAY16:15:38:00,1,200008,2,0,1,0,,0,,,,0,0,,1,8,3,3,4,4,2,5,5,5,3,9,,4,7,6,2,1,2,1,2,5,7,7,1,2,5,6,7,7,5,2,1,7,7,5,2,1,6,7,1,5,1,7,2,5,7,7,2,6,5,2,3,,2,,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,3,7,4,5,7,6,5,7,7,7,7,5,5,1,5,1,2,2,26,60,2,,2,1,,,,,,,39.75239563,-92.45659637,-1,6,7,6,6,6,6,80,6,7,25,85,9,-5.62859,-4.43242,-3.46192,-0.192429,-1.551717103,-1.221951132,-0.954398966,-0.053049764,0,1,0,0,0
R_bIsRvMzbYrUGRSZ,Default Response Set,Anonymous,,,173.16.65.104,0,02MAY16:16:43:00,02MAY16:16:50:00,1,200020,2,0,1,0,,0,,,,0,0,,1,5,3,1,3,3,4,5,5,5,4,9,,5,5,5,4,7,6,3,3,6,5,5,4,4,5,5,5,7,5,4,6,4,5,6,4,4,5,4,4,5,6,5,2,6,6,5,5,5,4,4,1,,5,none,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,1,2,2,5,0,0,0,0,0,0,1,1,1,1,1,1,2,3,4,3,1,16,27,2,,2,1,,,,,,,41.91369629,-90.27110291,-1,4,5,5,4,4,4,61,3,4,20,78,29,-3.19518,0.710705,-0.121556,2.22163,-0.880862783,0.195930616,-0.03351115,0.612469778,0,1,0,0,0
R_esTpFKWFvNzfO7z,Default Response Set,Anonymous,,,73.33.140.130,0,02MAY16:18:43:00,02MAY16:18:50:00,1,200045,2,0,1,0,,0,,,,0,0,,1,5,1,1,2,1,1,5,5,5,2,9,,6,6,2,5,6,5,5,6,6,6,2,6,6,6,6,5,6,6,6,6,5,6,6,6,6,5,2,2,6,0,6,2,6,6,3,6,2,6,6,2,,1,,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,6,2,2,33,27,4,,2,1,,,,,,,39.48989868,-74.47730255,-1,3,3,2,2,2,2,54,2,2,22,65,24,-1.63028,1.35411,-0.721732,1.1422,-0.44944353,0.37330764,-0.198970593,0.314887259,0,1,0,0,0
R_2gCFWSezTwo7ISF,Default Response Set,Anonymous,,,68.46.141.229,0,02MAY16:19:41:00,02MAY16:19:48:00,1,200047,2,0,1,0,,0,,,,0,0,,1,7,2,2,2,2,3,5,5,5,3,9,,5,6,5,3,6,5,3,3,4,5,5,5,4,4,5,5,6,3,3,6,3,5,5,3,4,5,3,3,5,4,5,2,5,5,4,3,6,4,4,1,,2,,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,2,4,5,5,5,5,5,2,3,3,4,3,3,1,5,6,2,1,23,49,3,,2,0,,,,,1,b,42.37620544,-82.95410156,-1,5,5,5,4,5,5,63,5,4,20,70,26,-5.50453,-4.92041,-4.04362,0.128904,-1.517515638,-1.356482592,-1.114764855,0.035536883,0,1,0,0,0
R_eDUzXot2UZpYpkF,Default Response Set,Anonymous,,,24.145.41.5,0,02MAY16:20:41:00,02MAY16:20:50:00,1,200057,2,0,1,0,1,0,,,,0,0,,0,6,1,1,2,2,4,5,5,5,3,9,,5,5,7,1,2,3,2,2,5,7,6,5,2,5,5,5,4,5,2,6,5,5,7,2,2,7,4,3,7,3,7,2,5,5,3,7,3,5,5,1,,3,,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,6,6,2,1,11,33,5,,2,0,1,,,,,,33.44830322,-81.69210052,-1,7,6,6,6,6,6,80,1,6,22,68,23,-2.57166,-2.55839,-3.47365,-0.699692,-0.708967753,-0.705309415,-0.957632749,-0.192894498,0,1,0,0,0
R_4TRPf2O3mRiBnrT,Default Response Set,Anonymous,,,24.158.154.174,0,02MAY16:20:49:00,02MAY16:21:02:00,1,200071,2,0,1,0,,0,,,,0,0,,1,8,4,3,4,4,4,5,5,5,4,9,,6,6,6,4,4,6,3,3,6,6,6,2,4,5,5,5,6,2,3,3,6,6,6,3,5,5,4,5,5,2,6,2,6,7,6,5,7,4,4,1,,1,,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,3,3,3,3,1,4,4,3,4,4,4,4,4,4,4,3,4,3,2,5,1,2,1,44,56,3,,2,1,,,,,,,35.52059937,-86.07029724,-1,4,5,5,4,5,5,65,3,3,16,89,17,-2.20594,-2.48034,-1.91999,-0.587511,-0.608144282,-0.683792211,-0.529312194,-0.161967894,0,1,0,0,0
R_5mZ1DdXxxKNuDnD,Default Response Set,Anonymous,,,68.14.164.38,0,02MAY16:20:57:00,02MAY16:21:06:00,1,200081,2,0,1,0,,0,,,,1,0,,0,8,2,1,2,2,2,5,5,5,2,9,,5,5,7,1,5,6,1,5,4,7,7,3,1,7,7,7,7,5,2,5,7,7,7,2,2,7,6,1,7,4,7,2,6,7,5,3,3,6,6,1,,2,,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,4,3,3,3,4,3,3,2,2,2,3,2,2,1,1,4,1,0,37,54,2,,2,1,,,,,,,36.14689636,-95.85389709,-1,7,7,3,7,6,6,85,5,6,28,83,24,-6.66918,-4.48081,-4.28923,-0.23579,-1.838592022,-1.235291523,-1.182475816,-0.065003736,0,1,0,0,0
R_cRR4pX1YgoBNc21,Default Response Set,Anonymous,,,172.251.102.140,0,02MAY16:21:42:00,02MAY16:21:53:00,1,200094,2,0,1,0,,0,,,,0,0,,1,8,2,3,3,2,1,5,5,5,3,9,,4,4,4,4,5,5,4,4,2,4,4,4,4,4,4,4,4,5,4,5,4,4,5,4,3,4,4,4,4,2,4,2,5,5,4,3,3,5,5,7,c,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,1,1,1,1,1,1,1,6,7,2,1,5,51,4,,2,1,,,,,,,34.14529419,-119.1091003,-1,4,4,4,4,4,4,52,5,5,25,60,21,-2.08696,-0.31149,-1.39765,0.879324,-0.575343297,-0.08587308,-0.385310959,0.242416323,0,1,0,0,0
R_3E21reaLRHCFxyZ,Default Response Set,Anonymous,,,66.87.125.7,0,02MAY16:21:45:00,02MAY16:22:15:00,1,200098,2,0,1,0,,0,,,,0,0,,1,6,2,3,2,3,3,5,5,5,3,9,,7,7,7,1,7,7,1,1,7,7,7,1,1,7,7,7,7,4,1,7,7,7,7,1,7,7,7,2,7,1,7,2,1,7,7,0,6,4,4,1,,1,,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,4,4,4,4,4,4,2,4,1,3,1,22,32,5,,2,1,,,,,,,42.28300476,-71.12090302,-1,7,7,7,7,7,7,91,8,1,21,93,23,-1.46013,-0.787935,-1.63493,1.26991,-0.402535749,-0.217221758,-0.450725465,0.350094973,0,1,0,0,0
