V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apples,Q2_4_blueberries,Q2_4_feijoas,Q2_4_rambutan,Q2_4_loquat,Q2_4_peaches,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q3_8,Q3_8_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_iron,Q7_1_vitC,Q7_1_potassium,Q7_1_calcium,Q7_1_vitD,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q9_2_1,Q9_2_2,Q9_2_3,Q9_2_4,Q9_2_5,Q9_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_8_TEXT,Q11_9,Q11_10_1,Q11_10_2,Q11_10_3,Q11_10_4,Q11_10_5,Q11_10_6,Q11_10_6_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_9TEVlFTO416rd7D,Default Response Set,Anonymous,,,108.196.55.54,0,02MAY16:16:38:00,02MAY16:16:44:00,1,200018,2,0,1,0,,0,,,,0,0,,1,7,1,1,2,2,1,5,5,5,2,9,,6,6,4,4,6,2,3,4,5,4,3,5,5,4,4,4,6,6,4,6,6,6,6,4,3,4,3,5,4,6,4,2,7,7,0,1,5,7,6,1,,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,2,11,47,3,,2,1,,,,,,,35.98170471,-84.1289978,-1,4,5,4,3,4,4,52,7,5,31,71,29,-0.172848,0.164604,-3.70354,1.32677,-0.048559493,0.046243444,-1.040463435,0.372739506,1,0,0,0,0
R_cCsT9RZqPDoH8dD,Default Response Set,Anonymous,,,97.78.165.66,0,02MAY16:16:33:00,02MAY16:16:47:00,1,200013,1,1,1,0,,0,,,,0,0,,1,7,1,1,1,1,1,5,5,5,1,9,,7,7,4,3,7,1,1,3,4,7,7,7,3,7,7,7,7,4,2,7,7,7,7,2,4,7,7,4,7,1,7,2,7,7,3,3,4,7,7,1,,1,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,2,4,4,4,4,4,5,1,1,1,1,1,1,2,1,6,3,2,38,42,5,,2,1,,,,,,,42.4980011,-83.40720367,-1,5,7,5,5,6,6,83,5,4,27,83,29,-5.59379,-3.38658,-3.88704,0.27516,-1.571505629,-0.95141747,-1.092015474,0.077302775,1,0,0,0,0
R_djwg0WSWx9912Ad,Default Response Set,Anonymous,,,172.243.108.192,0,02MAY16:18:38:00,02MAY16:18:49:00,1,200031,2,0,1,0,,0,,,,0,1,,0,7,4,3,5,2,5,5,5,5,5,9,,1,5,1,3,2,6,2,3,1,5,3,6,3,6,6,6,2,5,4,1,5,6,4,2,4,5,5,4,5,1,4,2,4,4,2,5,3,4,1,4,,1,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,3,3,3,1,5,0,0,0,0,0,0,5,4,4,4,4,3,2,2,5,2,1,26,44,2,,2,1,,,,,,,37.75100708,-97.8219986,-1,5,6,5,5,4,6,68,3,4,17,52,14,-4.69033,-2.77354,-3.82552,-1.18306,-1.317689794,-0.779191518,-1.074732196,-0.332365972,1,0,0,0,0
R_cLKY3mUyGIlBfW5,Default Response Set,Anonymous,,,24.0.192.233,0,02MAY16:20:38:00,02MAY16:20:46:00,1,200048,2,0,1,0,,0,,,,0,0,,1,4,1,1,1,1,2,5,5,5,2,9,,5,7,6,5,7,3,3,5,3,5,5,7,4,5,6,5,7,7,3,7,6,7,5,5,2,7,7,7,6,6,6,2,6,7,7,1,7,7,7,1,,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,2,1,3,2,2,3,1,1,4,5,3,31,15,4,,2,0,,1,,,,,39.95239258,-75.08840179,-1,3,5,3,4,5,3,63,7,6,34,90,32,-2.03889,-0.296673,-0.905677,1.35331,-0.572800751,-0.083346584,-0.254438673,0.380195589,1,0,0,0,0
R_3r5CRLRp2z716q9,Default Response Set,Anonymous,,,128.8.152.9,0,02MAY16:20:43:00,02MAY16:20:50:00,1,200065,2,0,1,0,1,0,,,,0,0,,0,7,1,1,2,1,3,5,5,5,3,9,,7,6,6,5,7,6,2,5,6,6,3,6,5,5,5,5,7,5,3,7,5,5,7,5,4,4,2,2,6,2,5,2,6,6,5,3,5,5,3,3,,2,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,6,5,6,6,6,6,2,2,2,2,1,1,2,2,1,2,1,21,49,4,,2,1,,,,,,,39.00120544,-76.93170166,-1,3,6,3,3,5,3,59,5,4,22,77,29,-3.94194,-2.67064,-1.6113,-2.3344,-1.107438945,-0.750283045,-0.452674666,-0.655820605,1,0,0,0,0
R_8dz31SwhI27dMyN,Default Response Set,Anonymous,,,24.112.58.107,0,02MAY16:20:46:00,02MAY16:20:54:00,1,200066,2,0,1,0,,0,,,,0,0,,1,4,2,2,2,1,2,5,5,5,2,9,,7,7,1,3,5,2,2,2,5,6,2,2,3,5,6,5,7,5,3,6,7,7,7,5,2,5,1,3,6,5,6,2,6,7,1,5,2,5,5,1,,2,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,3,5,0,0,0,0,0,0,3,2,3,3,2,2,2,6,1,2,1,19,16,2,,2,1,,,,,,,30.24130249,-93.26899719,-1,5,6,6,5,5,3,69,3,6,24,65,25,-4.7555,-2.74081,-2.99484,-0.227725,-1.335998494,-0.769996432,-0.841362997,-0.063976502,1,0,0,0,0
R_8pm4LkbpdYw8pcF,Default Response Set,Anonymous,,,24.181.126.182,0,02MAY16:20:57:00,02MAY16:21:03:00,1,200083,2,0,1,0,,0,,,,0,0,,1,4,3,3,3,3,3,5,5,5,3,9,,5,5,5,5,6,5,2,3,3,5,5,5,3,3,3,5,6,5,5,5,5,5,5,5,3,5,3,5,5,3,5,2,5,5,5,2,5,6,5,1,,1,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,5,0,0,0,0,0,0,3,3,3,3,3,3,1,1,4,2,1,1,18,4,,2,1,,,,,,,33.80110168,-87.27980042,-1,3,6,5,5,3,3,56,6,5,27,72,24,-1.26765,0.956045,-0.223399,0.723472,-0.356130479,0.268588935,-0.062761167,0.203250447,1,0,0,0,0
R_5yUicDUWSvIMNZb,Default Response Set,Anonymous,,,75.142.165.134,0,02MAY16:21:47:00,02MAY16:21:55:00,1,200104,2,0,1,0,,0,,,,0,0,,1,8,4,1,2,3,2,5,5,5,4,9,,6,6,4,2,1,1,2,2,4,3,3,1,5,5,5,5,6,6,1,2,6,6,4,2,1,6,2,6,7,1,6,2,6,6,3,1,5,6,4,1,,1,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,2,3,1,4,7,7,7,7,7,7,2,2,2,2,2,2,1,5,3,1,0,45,53,4,,2,1,,,,,,,32.81509399,-97.17340088,-1,6,6,6,3,7,6,71,7,7,30,70,9,-4.36111,-4.14617,-3.97616,0.150324,-1.225199536,-1.16481482,-1.117052628,0.042231655,1,0,0,0,0
R_06fZaaquL2YqW0t,Default Response Set,Anonymous,,,184.23.11.175,0,02MAY16:23:41:00,02MAY16:23:48:00,1,200118,2,0,1,0,1,0,,,,0,0,,0,5,2,4,2,3,3,5,5,5,3,9,,5,7,1,3,7,1,3,4,6,5,1,3,3,4,5,5,7,3,3,6,6,6,7,4,4,4,1,4,5,3,4,2,7,7,2,3,2,4,4,2,,4,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,3,3,3,1,3,6,6,7,7,7,7,4,2,3,4,3,3,2,2,3,3,1,5,26,4,,2,1,,,,,,,37.78619385,-122.4371033,-1,5,5,4,5,5,4,60,5,4,20,63,26,-4.70284,-2.46056,-3.2252,-0.116284,-1.321204323,-0.691263685,-0.906079769,-0.032668541,1,0,0,0,0
R_5c03a7cKw1SVSxD,Default Response Set,Anonymous,,,216.196.211.244,0,02MAY16:23:46:00,03MAY16:00:02:00,1,200124,2,0,1,0,,0,,,,0,0,,1,8,1,4,4,4,4,5,5,5,4,9,,5,5,6,3,5,4,4,5,3,4,4,3,5,4,4,4,6,6,3,4,6,5,5,5,4,3,5,5,4,4,3,2,4,6,4,2,5,5,6,1,,2,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,3,1,1,4,4,4,4,4,3,3,6,5,6,4,4,2,2,5,3,2,1,36,54,2,,2,1,,,,,,,39.28309631,-84.5161972,-1,5,4,3,3,5,3,49,6,4,27,73,21,-3.75842,0.0284717,-3.44064,1.12625,-1.055881287,0.007998769,-0.966604954,0.31640591,1,0,0,0,0
