V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apples,Q2_4_blueberries,Q2_4_feijoas,Q2_4_rambutan,Q2_4_loquat,Q2_4_peaches,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q3_8,Q3_8_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_iron,Q7_1_vitC,Q7_1_potassium,Q7_1_calcium,Q7_1_vitD,Q7_2,Q7_3,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q10_1,Q9_2_1,Q9_2_2,Q9_2_3,Q9_2_4,Q9_2_5,Q9_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_8_TEXT,Q11_9,Q11_10_1,Q11_10_2,Q11_10_3,Q11_10_4,Q11_10_5,Q11_10_6,Q11_10_6_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,Monsanto,Family,Public,Seed,WTP_Mon,WTP_Fam,WTP_Pub,WTP_Seed,Mon_T,Emo_T,Sim_T,Ben_T,Control
R_5ouxPu8rovVBlS5,Default Response Set,Anonymous,,,104.7.247.17,0,02MAY16:16:34:00,02MAY16:16:43:00,1,200015,2,0,1,0,,0,,,,0,0,,1,8,4,1,3,3,4,5,5,5,4,9,,4,5,3,4,4,1,2,4,3,4,3,3,4,4,4,4,4,4,4,5,3,6,7,4,4,5,1,3,5,4,5,2,4,7,4,2,3,4,4,3,,2,,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,2,7,7,4,7,7,7,4,4,4,4,4,4,1,5,5,2,1,25,55,4,,2,1,,,,,,,34.89790344,-88.57939911,-1,4,6,4,4,4,4,57,6,4,22,54,23,-4.40619,-2.13324,-1.95201,-1.77661,-1.135917524,-0.549950116,-0.50322895,-0.458010761,0,0,1,0,0
R_b7KbJsnYV0DAtXD,Default Response Set,Anonymous,,,173.164.45.129,0,02MAY16:18:39:00,02MAY16:18:48:00,1,200037,2,0,1,0,,0,,,,0,0,,1,8,2,1,1,1,1,5,5,5,3,9,,5,6,5,3,6,5,2,5,4,7,3,2,3,5,6,6,5,4,2,5,6,5,7,3,4,6,5,5,6,1,5,2,5,6,5,3,5,5,5,1,,4,,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,4,3,3,1,5,4,2,1,6,54,7,c,2,0,,1,,,,,39.61480713,-104.9559021,-1,5,6,3,5,6,5,71,5,4,23,75,21,-3.94502,-1.4629,-2.47656,-1.99256,-1.017027716,-0.377136199,-0.638458147,-0.513682756,0,0,1,0,0
R_eEFpqTgadI52Wax,Default Response Set,Anonymous,,,100.37.170.120,0,02MAY16:20:39:00,02MAY16:20:43:00,1,200053,2,0,1,0,,0,,,,0,0,,1,2,3,1,1,1,1,5,5,5,2,9,,6,7,6,3,5,7,3,4,6,5,6,5,4,4,5,4,6,5,4,4,5,6,4,4,3,5,5,5,5,4,5,2,7,7,6,2,6,6,4,3,,1,,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,5,0,0,0,0,0,0,3,2,3,3,2,3,2,4,6,3,1,33,4,4,,2,1,,,,,,,40.68089294,-73.98049927,-1,5,5,4,4,4,4,59,6,5,26,91,22,-1.33023,-0.375098,-0.512267,1.06063,-0.34293382,-0.096700413,-0.132062635,0.273430833,0,0,1,0,0
R_8cB3YfOSIOoC5ud,Default Response Set,Anonymous,,,66.119.96.100,0,02MAY16:20:40:00,02MAY16:20:50:00,1,200055,2,0,1,0,,0,,,,0,0,,1,3,2,2,3,2,3,5,5,5,3,9,,4,5,4,4,6,4,4,5,4,2,4,7,5,4,4,4,5,5,3,5,4,3,5,4,2,3,3,2,3,4,5,2,3,4,3,2,3,5,4,1,,1,,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,1,2,5,0,0,0,0,0,0,2,2,3,3,4,3,2,4,4,3,1,10,5,3,,2,1,,,,,,,34.9434967,-83.90630341,-1,4,4,3,3,5,4,48,6,6,26,55,27,-3.20116,0.507273,-1.92405,3.23437,-0.825260314,0.13077518,-0.496020851,0.833821865,0,0,1,0,0
R_eb2Zd3J5DCbn5Rj,Default Response Set,Anonymous,,,68.0.44.55,0,02MAY16:20:50:00,02MAY16:20:58:00,1,200072,2,0,1,0,1,0,,,,0,0,,0,4,2,1,1,3,2,5,5,5,3,9,,6,5,3,5,7,4,3,3,6,5,3,5,3,5,5,5,6,6,4,7,5,5,7,5,3,5,1,2,5,6,4,2,5,7,3,1,3,6,5,1,,4,,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,1,1,1,4,5,5,5,5,5,5,2,2,3,3,2,2,2,1,3,1,0,48,10,4,,2,1,,,,,,,36.88879395,-76.30570221,-1,3,5,5,5,4,3,59,7,5,29,64,32,-1.15516,0.947141,-0.253499,0.892644,-0.297800705,0.244173324,-0.065352142,0.230123976,0,0,1,0,0
R_0oz8VFyyEK0P2UR,Default Response Set,Anonymous,,,99.8.205.130,0,02MAY16:20:56:00,02MAY16:21:03:00,1,200079,2,0,1,0,,0,,,,0,0,,1,4,3,3,5,3,5,5,5,5,3,9,,4,6,4,1,2,6,1,1,4,7,6,2,1,7,7,7,6,4,1,4,2,6,6,1,4,7,6,6,7,2,7,2,7,6,4,2,6,6,4,1,,1,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,2,1,1,3,7,7,7,7,7,7,5,4,5,4,4,4,2,1,1,1,0,15,14,2,,2,1,,,,,,,39.67889404,-86.12760162,-1,7,7,7,7,7,7,91,6,4,24,79,16,-4.60647,-0.296661,-0.54565,1.02645,-1.187549788,-0.076479323,-0.140668786,0.264619216,0,0,1,0,0
R_0oHO2law7YjcVLv,Default Response Set,Anonymous,,,64.222.107.231,0,02MAY16:21:46:00,02MAY16:21:56:00,1,200101,2,0,1,0,,0,,,,0,0,,1,7,2,1,1,1,1,5,5,5,3,9,,5,5,5,3,5,5,3,3,4,5,5,5,4,4,5,4,5,4,2,6,5,5,5,2,2,4,6,5,5,3,5,2,2,5,5,3,5,4,3,1,,1,,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,3,3,1,1,3,2,3,1,4,6,4,6,5,5,5,4,3,5,4,4,5,2,1,5,2,1,47,45,5,,2,1,,,,,,,44.52760315,-72.64050293,-1,5,5,5,4,6,6,63,5,6,22,72,24,-5.17195,-2.86838,-3.48939,0.457135,-1.333330755,-0.739469498,-0.899566122,0.117849584,0,0,1,0,0
R_eRJtlRGoqAwotfv,Default Response Set,Anonymous,,,74.178.221.54,0,02MAY16:22:06:00,02MAY16:22:22:00,1,200112,2,0,1,0,,0,,,,0,0,,1,8,3,2,2,2,2,5,5,4,3,9,,4,7,2,4,7,4,2,2,4,6,2,4,4,4,6,5,6,5,5,7,5,5,7,4,4,5,3,2,5,6,5,2,4,6,5,3,3,5,5,1,,2,,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,3,1,3,3,6,6,7,7,6,7,3,3,3,3,2,2,2,5,1,1,0,10,58,2,,2,1,,,,,,,30.12939453,-81.77749634,-1,4,6,6,4,3,4,63,5,4,24,62,31,-5.74017,1.65643,-0.731056,-0.77795,-1.479818096,0.427028309,-0.188466526,-0.200555818,0,0,1,0,0
R_eDlOeG1zBZ9xWwB,Default Response Set,Anonymous,,,69.242.106.151,0,02MAY16:23:48:00,03MAY16:00:02:00,1,200126,2,0,1,0,1,0,,,,0,0,,0,4,1,1,1,2,1,5,5,5,4,9,,4,7,4,2,5,4,2,3,7,7,7,7,5,7,5,7,4,5,2,3,7,6,7,1,4,6,5,2,7,1,6,2,7,4,3,3,3,6,4,1,,1,,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,3,3,1,1,2,2,3,1,3,7,7,7,7,7,7,5,5,5,5,5,5,2,2,2,2,1,39,15,3,,2,1,,,,,,,40.12460327,-75.53849792,-1,6,6,5,3,6,7,78,5,4,24,74,23,-6.28958,-3.846,-3.25666,0.800056,-1.621456211,-0.991500321,-0.839568236,0.206254753,0,0,1,0,0
R_ehT8lhsmCPI9HSt,Default Response Set,Anonymous,,,73.37.162.29,0,03MAY16:01:51:00,03MAY16:02:05:00,1,200145,2,0,1,0,,0,,,,0,0,,1,5,1,1,2,2,2,5,5,5,3,9,,4,5,4,4,6,4,2,4,3,5,4,4,4,4,4,4,5,4,4,6,5,4,5,4,4,4,4,4,4,4,4,2,4,4,4,3,4,5,5,1,,1,,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,2,1,5,0,0,0,0,0,0,3,3,3,3,4,3,1,6,1,5,4,24,20,3,,2,1,,,,,,,45.28739929,-93.43360138,-1,4,6,4,4,4,4,55,5,4,23,62,25,-3.22889,-1.6934,-1.71511,2.71266,-0.832409119,-0.43655919,-0.442156036,0.699324821,0,0,1,0,0
