V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apple,Q2.4_5,Q2.4_loquat,Q2.4_rambutan,Q2.4_mangosteen,Q2.4_peach,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.1_5,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q10.2_1,Q10.2_2,Q10.2_3,Q10.2_4,Q10.2_5,Q10.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,gid,Vielen Dank für Ihre Bereitschaft an unserer Umfrage heute teilzunehmen. Das Ziel dieser Umfrage...,Die Beantwortung der folgenden Fragen wird ca. 15 bis 20 Minuten in Anspruch nehmen. Es entstehen...,Sind Sie überwiegend für die Lebensmitteleinkäufe Ihres Haushalts verantwortlich (mindestens 50%...,Sind Sie oder ein nahes Familienmitglied in den folgenden Sektoren beschäftigt?-Landwirtschaft,Sind Sie oder ein nahes Familienmitglied in den folgenden Sektoren beschäftigt?-Erziehung,Sind Sie oder ein nahes Familienmitglied in den folgenden Sektoren beschäftigt?-Medizinischer Beruf,Sind Sie oder ein nahes Familienmitglied in den folgenden Sektoren beschäftigt?-Marktforschung,Sind Sie oder ein nahes Familienmitglied in den folgenden Sektoren beschäftigt?-Consulting,Sind Sie oder ein nahes Familienmitglied in den folgenden Sektoren beschäftigt?-Biotechnologie,Sind Sie oder ein nahes Familienmitglied in den folgenden Sektoren beschäftigt?-Herstellung von Waren,Sind Sie oder ein nahes Familienmitglied in den folgenden Sektoren beschäftigt?-Bausektor,Sind Sie oder ein nahes Familienmitglied in den folgenden Sektoren beschäftigt?-Immobilien,Sind Sie oder ein nahes Familienmitglied in den folgenden Sektoren beschäftigt?-Keine der Optionen,Wie alt sind Sie?,Wann haben Sie das letzte Mal die folgenden Produkte gekauft?-Orangen,Wann haben Sie das letzte Mal die folgenden Produkte gekauft?-Bananen,Wann haben Sie das letzte Mal die folgenden Produkte gekauft?-Erdbeeren,Wann haben Sie das letzte Mal die folgenden Produkte gekauft?-Äpfel,Wann haben Sie das letzte Mal die folgenden Produkte gekauft?-Heidelbeeren,Wann haben Sie das letzte Mal die folgenden Produkte gekauft?-Loquat,Wann haben Sie das letzte Mal die folgenden Produkte gekauft?-Rambutan,Wann haben Sie das letzte Mal die folgenden Produkte gekauft?-Mangustane,Wann haben Sie das letzte Mal die folgenden Produkte gekauft?-Pfirsiche,In welchem Lande leben Sie?,In welchem Lande leben Sie?-TEXT,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Die Erde ist wie ein Raumschiff mit sehr begrenztem Raum und Ressourcen.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Die Menschheit richtet ernsthaften Schaden an der Umwelt an.,"Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Die Menschheit wird letztendlich lernen, wie die Natur funktioniert, um sie zu kontrollieren.",Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen bemühen sich ethisch zu handeln.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Ich koche gerne.,"Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Die sogenannte Umweltkrise, die die Menscheit bedroht, wird stark übertrieben.",Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen werden nicht von Gier angetrieben.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen berücksichtigen die Bedürfnisse ihrer Angestellten wenn sie Business-Entscheidungen treffen.,"Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Wir nähern uns dem Limit an Menschen an, die die Erde vertragen kann.","Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen brechen Gesetze, wenn Sie dadurch mehr Geld verdienen.",Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Die Natur ist stark genug um die Belastungen moderner Industrienationen auszubalancieren.,"Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Ich bin ein ""Foodie"". (Lebensmittel sind ein wichtiger Teil meines Lebensstils)",Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen respektieren die Gesetze.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen täuschen die Öffentlichkeit absichtlich.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen streben nach Macht um jeden Preis.,"Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Führungskräfte werden lügen, für den Fall, dass es die Unternehmensgewinne steigert.",Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Pflanzen und Tiere haben dasselbe Recht zu existieren wie Menschen.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Durch Technologie funktioniert alles besser.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen beuten ihre ArbeiterInnen nicht aus.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Ich probiere gerne neue Rezepte aus.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Die Balance der Natur ist sehr sensibel und es ist leicht die Balance der Natur zu stören.,"Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Wenn Menschen sich in die Belange der Natur einmischen, sind die Folgen oft katastrophal.","Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Ich ziehe es vor Speisen zu essen, die zu Hause gekocht wurden.",Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen akzeptieren für ihre Handlungen zur Rechenschaft herangezogen zu werden.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Technologie hat mehr schlechte als gute Dinge gebracht.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen kümmern sich nur ums Geld.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Es ist die Bestimmung der Menscheit über die Natur zu herrschen.,"Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Die Erde hat genug natürliche Ressourcen, wenn wir nur lernen diese richtig zu nutzen.",Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen stellen ihre eigenen Interessen über das öffentliche Interesse.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Ich lese gerne Blogs über Lebensmittel.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Unternehmen nehmen viel mehr als sie geben.,"Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Bitte wählen Sie ""lehne ab"" für diese Reihe. Danke dass sie sorgfältig lesen.","Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Wenn die Dinge wie bisher weiterlaufen, werden wir bald eine bedeutende ökologische Katastrophe haben.","Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Trotz unserer speziellen Fähigkeiten, hat sich die Menscheit immer noch den Gesetzen der Natur unterzuordnen.",Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Die Menschheit hat das Recht die Natur an ihre Bedürnisse anzupassen.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Technologie ist nicht sehr wichtig im Leben.,"Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Der menschliche Ideenreichtum wird sicherstellen, dass wir die Erde nicht unbewohnbar machen.",Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Technologie ist gut für die Zukunft des Landes.,Bitte geben Sie an wie sehr Sie jeder der folgenden Aussagen zustimmen oder diese ablehnen.-Jeder braucht Technologie.,Wo kaufen Sie überwiegend ihre Lebensmittel ein?,Wo kaufen Sie überwiegend ihre Lebensmittel ein?-TEXT,Landwirtschaftliche Nutzpflanzen können auf verschiedene Weise produziert werden. Ein Weg ist unt...,"Bitte geben Sie bei den folgenden Fragen an, welche Orangen Sie kaufen würden. Wenn die Orangen v...",Landwirtschaftliche Nutzpflanzen können auf verschiedene Weise produziert werden. Ein Weg ist unt...,"Bitte geben Sie bei den folgenden Fragen an, welche Orangen Sie kaufen würden. Wenn die Orangen v...",Landwirtschaftliche Nutzpflanzen können auf verschiedene Weise produziert werden. Ein Weg ist unt...,"Bitte geben Sie bei den folgenden Fragen an, welche Orangen Sie kaufen würden. Wenn die Orangen v...",Wie wichtig sind die folgenden Vitamine/Mineralien für Ihre Ernährung?-Eisen,Wie wichtig sind die folgenden Vitamine/Mineralien für Ihre Ernährung?-Vitamin C,Wie wichtig sind die folgenden Vitamine/Mineralien für Ihre Ernährung?-Kalium,Wie wichtig sind die folgenden Vitamine/Mineralien für Ihre Ernährung?-Kalcium,Wie wichtig sind die folgenden Vitamine/Mineralien für Ihre Ernährung?-Vitamin D,Landwirtschaftliche Nutzpflanzen können auf verschiedene Weise produziert werden. Ein Weg ist unt...,"Bitte geben Sie bei den folgenden Fragen an, welche Orangen Sie kaufen würden. Wenn die Orangen v...",Wie komfortabel sind Sie mit Biotechnologie in der Lebensmittelproduktion?,In den folgenden Fragen werden Orangen mit verschiedenen Eigenschaften beschrieben.Bitte berücksi...,"Bitte geben Sie an welches kg Orangen, Sie am ehesten bereit wären zu kaufen."," Bitte geben Sie an welches kg Orangen, Sie am ehesten bereit wären zu kaufen."," Bitte geben Sie an welches kg Orangen, Sie am ehesten bereit wären zu kaufen."," Bitte geben Sie an welches kg Orangen, Sie am ehesten bereit wären zu kaufen."," Bitte geben Sie an welches kg Orangen, Sie am ehesten bereit wären zu kaufen."," Bitte geben Sie an welches kg Orangen, Sie am ehesten bereit wären zu kaufen."," Bitte geben Sie an welches kg Orangen, Sie am ehesten bereit wären zu kaufen."," Bitte geben Sie an welches kg Orangen, Sie am ehesten bereit wären zu kaufen."," Bitte geben Sie an welches kg Orangen, Sie am ehesten bereit wären zu kaufen.",Wie vertraut sind Sie mit dem Unternehmen Monsanto?,Wie sehen Sie das Image von Monsanto?-beliebt:unbeliebt,Wie sehen Sie das Image von Monsanto?-glaubwürdig:unglaubwürdig,Wie sehen Sie das Image von Monsanto?-positive Nachrichten:negative Nachrichten,Wie sehen Sie das Image von Monsanto?-vertrauenswürdig:nicht vertrauenswürdig,Wie sehen Sie das Image von Monsanto?-Beachtet ethische Grundregeln:Ignoriert ethische Grundregeln,Wie sehen Sie das Image von Monsanto?-Unterstützt Umwelt- und soziale Belange:Ignoriert Umwelt- und soziale Belange,Wie sehen Sie das Image von Universitäten?-beliebt:unbeliebt,Wie sehen Sie das Image von Universitäten?-glaubwürdig:unglaubwürdig,Wie sehen Sie das Image von Universitäten?-positive Nachrichten:negative Nachrichten,Wie sehen Sie das Image von Universitäten?-vertrauenswürdig:nicht vertrauenswürdig,Wie sehen Sie das Image von Universitäten?-Beachtet ethische Grundregeln:Ignoriert ethische Grundregeln,Wie sehen Sie das Image von Universitäten?-Unterstützt Umwelt- und soziale Belange:Ignoriert Umwelt- und soziale Belange,Zum Abschluss ein paar demographische Fragen. Was ist ihr Geschlecht?,Was beschreibt am besten ihre Arbeitssituation?,Wie hoch ist Ihr verfügbares jährliches Haushaltseinkommen in Euro?,Wieviele Menschen leben derzeit in Ihrem Haushalt (einschließlich Ihnen selbst)?,Wieviele Kinder unter 18 Jahren leben derzeit in Ihrem Haushalt?,In welchem Jahr wurden Sie geboren?,Was ist der höchste Bildungsabschluss den Sie besitzen?,LocationLatitude,LocationLongitude,LocationAccuracy
R_3ehqHN5igb8Sqrj,Default Response Set,Anonymous,,,38.140.104.34,0,4/29/16 16:36,4/29/16 16:37,1,700001,2,,1,,,,,,,,,,1,5,4,4,5,4,4,5,4,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.81199646,-96.81430054,-1
R_egJssuO2o6b13uZ,Default Response Set,Anonymous,,,38.140.104.34,0,4/29/16 16:38,4/29/16 16:39,1,700002,2,,1,,,,,,,,,,1,6,4,4,4,4,4,5,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.81199646,-96.81430054,-1
R_5am2Gn3zDyu1DJr,Default Response Set,Anonymous,,,38.140.104.34,0,4/29/16 16:40,4/29/16 16:44,1,700003,2,,1,,,,,,,,,,1,6,4,4,4,4,4,5,5,4,5,4,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,,,,,,3,1,,,,,,,,,,1,1,2,1,2,2,2,2,1,4,2,2,2,2,2,2,2,2,,2,2,2,1,2,2,3,4,18,2,32.81199646,-96.81430054,-1
R_4MD5L7WY74WG37D,Default Response Set,Anonymous,,,38.140.104.34,0,4/29/16 16:46,4/29/16 16:49,1,300001,2,,1,,,,,,,,,,1,6,4,4,4,4,4,5,5,4,5,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,2,1,1,1,1,1,2,2,2,1,1,3,2,2,2,2,2,2,4,4,3,3,3,3,2,2,4,2,6,18,5,32.81199646,-96.81430054,-1
R_3EKsgsLeky9MWMt,Default Response Set,Anonymous,,,38.140.104.34,0,4/29/16 16:50,4/29/16 16:51,1,300002,2,,1,,,,,,,,,,1,4,4,5,4,4,5,5,5,4,5,2,,4,4,4,4,4,4,4,4,,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.81199646,-96.81430054,-1
R_aX0tokGlJ1heN5X,Default Response Set,Anonymous,,,38.140.104.34,0,4/29/16 16:53,4/29/16 16:56,1,300003,2,,1,,,,,,,,,,1,7,4,5,5,5,5,5,5,5,5,4,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,,,,3,1,,,,,,,,,,,,2,1,2,2,1,2,2,2,1,4,2,2,2,2,2,2,3,3,3,3,3,3,2,3,5,5,5,24,3,32.81199646,-96.81430054,-1
R_06AWknIrm3oLoLb,Default Response Set,Anonymous,,,,1,4/30/16 13:21,4/30/16 13:21,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6381073,-82.41410065,-1
R_82Frt378proLXvv,Default Response Set,Anonymous,,,,1,4/30/16 13:22,4/30/16 13:23,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6381073,-82.41410065,-1
R_dmTz2eaSj3qmHqJ,Default Response Set,Anonymous,,,,1,4/30/16 13:23,4/30/16 13:24,1,,1,1,1,,,,1,,,,,,,6,1,1,1,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6381073,-82.41410065,-1
