V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apples,Q2.4_blueberries,Q2.4_feijoas,Q2.4_rambutan,Q2.4_loquat,Q2.4_peaches,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q3.8,Q3.8_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_iron,Q7.1_vitC,Q7.1_potassium,Q7.1_calcium,Q7.1_vitD,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.7,Q11.8,Q11.8_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,gid,Gracias por participar hoy en nuestra encuesta. El propósito de esta encuesta es entender mejor s...,"En este estudio se le pedirá que conteste a una serie de preguntas que le llevará, aproximadament...",¿Es usted la persona que habitualmente realiza la compra en su hogar (usted es el responsable del...,"¿Es usted, o algún familiar cercano, empleado en una empresa de los siguientes sectores?-Agroalimentario","¿Es usted, o algún familiar cercano, empleado en una empresa de los siguientes sectores?-Educación","¿Es usted, o algún familiar cercano, empleado en una empresa de los siguientes sectores?-Sanidad","¿Es usted, o algún familiar cercano, empleado en una empresa de los siguientes sectores?-Estudios de mercado","¿Es usted, o algún familiar cercano, empleado en una empresa de los siguientes sectores?-Consultoría","¿Es usted, o algún familiar cercano, empleado en una empresa de los siguientes sectores?-Ingeniería biomédica o biotecnológica","¿Es usted, o algún familiar cercano, empleado en una empresa de los siguientes sectores?-Manufacturas","¿Es usted, o algún familiar cercano, empleado en una empresa de los siguientes sectores?-Construcción","¿Es usted, o algún familiar cercano, empleado en una empresa de los siguientes sectores?-Inmobiliario","¿Es usted, o algún familiar cercano, empleado en una empresa de los siguientes sectores?-Ninguno de los anteriores",¿Cuál es su edad?,¿Cuándo fue la última vez que compró alguno de los siguientes productos?-Naranjas,¿Cuándo fue la última vez que compró alguno de los siguientes productos?-Plátanos,¿Cuándo fue la última vez que compró alguno de los siguientes productos?-Fresas,¿Cuándo fue la última vez que compró alguno de los siguientes productos?-Manzanas,¿Cuándo fue la última vez que compró alguno de los siguientes productos?-Frutas del bosque,¿Cuándo fue la última vez que compró alguno de los siguientes productos?-Feijoas,¿Cuándo fue la última vez que compró alguno de los siguientes productos?-Rambután,¿Cuándo fue la última vez que compró alguno de los siguientes productos?-Mangostán,¿Cuándo fue la última vez que compró alguno de los siguientes productos?-Melocotones,¿Cuál es su país?,¿Cuál es su país?-TEXT,"Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-La Tierra es como una nave espacial con espacio y recursos muy limitados.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Los seres humanos están abusando seriamente del entorno.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Los seres humanos al final aprenderán lo suficiente del funcionamiento de la naturaleza que les permitirá controlarla.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Las grandes empresas se preocupan por actuar de forma ética.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Me gusta cocinar.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Se ha exagerado demasiado la llamada “crisis ecológica” a la que se enfrenta la humanidad.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-A las grandes empresas no les mueve la codicia.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Las grandes empresas tienen en cuenta las necesidades de sus empleados cuando toman decisiones de negocio.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Nos estamos acercando al límite máximo  de habitantes que la Tierra puede soportar.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Las grandes empresas violarán las leyes si eso les reporta mayores beneficios.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-El equilibrio de la naturaleza es lo suficientemente sólido como para soportar el impacto derivado de las sociedades industrializadas modernas.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Soy un “gourmet”.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Las grandes empresas son respetuosas con las leyes.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Las grandes empresas engañan intencionadamente a la gente.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Las grandes empresas ansían el poder a toda costa.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Los directivos de las grandes empresas mentirían si con ello aumentasen los beneficios empresariales.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Las plantas y los animales tienen el mismo derecho a existir que los seres humanos.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-La tecnología hace que todo funcione mejor.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Las grandes empresas no explotan a sus trabajadores","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Me gusta probar nuevas recetas.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-El equilibrio de la naturaleza es muy delicado y fácilmente alterable.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Cuando los seres humanos interfieren con la naturaleza se producen consecuencias desastrosas.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Prefiero comer comida casera.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Las grandes empresas aceptan la responsabilidad derivada de sus acciones.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-La tecnología ha traído más cosas negativas que positivas.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-A las grandes empresas sólo les importa el dinero.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Los seres humanos estaban destinados a dominar la naturaleza.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-La Tierra tiene abundantes recursos naturales si  aprendemos a desarrollarlos.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Las grandes empresas anteponen sus intereses a los intereses generales de la población.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Me gusta leer blogs de alimentación.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Las grandes empresas reciben mucho más de lo que dan.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Por favor, seleccione “En desacuerdo” en esta pregunta. Gracias por leer con atención.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Si las cosas continúan tal y como están, pronto sufriremos una gran catástrofe ecológica.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-A pesar de nuestras habilidades, los seres humanos todavía estamos sujetos a las leyes de la naturaleza.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Los seres humanos tenemos el derecho a modificar el entorno natural para ajustarlo a nuestras necesidades.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-En la vida, la tecnología no es muy importante.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-El ingenio humano asegurará que no hagamos de la Tierra un planeta  inhabitable.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-La tecnología es buena para el futuro de los países.","Por favor, indique su grado de acuerdo o desacuerdo con las siguientes afirmaciones.-Todo el mundo necesita de la tecnología.",¿Dónde compra habitualmente la comida?,¿Dónde compra habitualmente la comida?-TEXT,¿Qué tipo de banco utiliza habitualmente? ,¿Qué tipo de banco utiliza habitualmente? -TEXT,Los cultivos se pueden producir de formas diferentes. Una de las opciones es mediante el uso de l...,"En las siguientes preguntas, se le pedirá que indique qué opción de naranjas estaría usted más in...",Los cultivos se pueden producir de formas diferentes. Una de las opciones es mediante el uso de l...,"En las siguientes preguntas, se le pedirá que indique qué opción de naranjas estaría usted más in...",Los cultivos se pueden producir de formas diferentes. Una de las opciones es mediante el uso de l...,"En las siguientes preguntas, se le pedirá que indique qué opción de naranjas estaría usted más in...",¿Qué importancia da usted en su dieta a los siguientes nutrientes?-Hierro,¿Qué importancia da usted en su dieta a los siguientes nutrientes?-Vitamina C,¿Qué importancia da usted en su dieta a los siguientes nutrientes?-Potasio,¿Qué importancia da usted en su dieta a los siguientes nutrientes?-Calcio,¿Qué importancia da usted en su dieta a los siguientes nutrientes?-Vitamina D,Los cultivos se pueden producir de formas diferentes. Una de las opciones es mediante el uso de l...,"En las siguientes preguntas, se le pedirá que indique qué opción de naranjas estaría usted más in...",¿Cómo se siente usted con el uso de la biotecnología en la producción de alimentos?,"En las siguientes preguntas, se le mostrará una descripción de naranjas con características difer...","Por favor, seleccione, si la hubiere, qué opción de naranjas estaría dispuesto a comprar.?","Por favor, seleccione, si la hubiere, qué opción de naranjas estaría dispuesto a comprar.?","Por favor, seleccione, si la hubiere, qué opción de naranjas estaría dispuesto a comprar.?","Por favor, seleccione, si la hubiere, qué opción de naranjas estaría dispuesto a comprar.?","Por favor, seleccione, si la hubiere, qué opción de naranjas estaría dispuesto a comprar.?","Por favor, seleccione, si la hubiere, qué opción de naranjas estaría dispuesto a comprar.?","Por favor, seleccione, si la hubiere, qué opción de naranjas estaría dispuesto a comprar.?","Por favor, seleccione, si la hubiere, qué opción de naranjas estaría dispuesto a comprar.?","Por favor, seleccione, si la hubiere, qué opción de naranjas estaría dispuesto a comprar.?",¿Está familiarizado con la empresa Monsanto?,¿Qué imagen tiene usted de Monsanto?-Le gusta:No le gusta,¿Qué imagen tiene usted de Monsanto?-Creíble:No creíble,¿Qué imagen tiene usted de Monsanto?-Titulares positivos:Titulares negativos,¿Qué imagen tiene usted de Monsanto?-Fiable:No Fiable,¿Qué imagen tiene usted de Monsanto?-Se adhiere a los principios éticos básicos:No se adhiere a los principios éticos básicos,¿Qué imagen tiene usted de Monsanto?-Apoya las preocupaciones ambientales y sociales:Ignora las preocupaciones ambientales y sociales,¿Qué imagen tiene usted de las Universidades?-Le gusta:No le gusta,¿Qué imagen tiene usted de las Universidades?-Creíble:No creíble,¿Qué imagen tiene usted de las Universidades?-Titulares positivos:Titulares negativos,¿Qué imagen tiene usted de las Universidades?-Fiable:No Fiable,¿Qué imagen tiene usted de las Universidades?-Se adhiere a los principios éticos básicos:No se adhiere a los principios éticos básicos,¿Qué imagen tiene usted de las Universidades?-Apoya las preocupaciones ambientales y sociales:Ignora las preocupaciones ambientales y sociales,¿Cuál es su sexo?,¿Qué describe mejor su situación laboral actual?,¿Cuál es la renta anual disponible total de su hogar en euros?,¿Cuántas personas viven actualmente en su hogar (incluyéndole a usted)?,¿Cuántos hijos menores de 18 años viven actualmente en su hogar?,¿En qué año nació usted?,¿Cuál es el nivel más alto de estudios que usted ha completado?,¿Cuál es el nivel más alto de estudios que usted ha completado?-TEXT,LocationLatitude,LocationLongitude,LocationAccuracy
R_6XspdH4Qjv8Miyh,Default Response Set,Anonymous,,,88.5.252.25,0,5/4/2016 10:44,5/4/2016 10:49,1,600004,2,,1,,,,,,,,,,1,6,4,3,4,4,5,5,5,5,4,5,,6,7,3,2,3,1,1,1,4,6,2,4,3,6,7,7,7,5,1,4,7,7,6,2,1,7,2,7,7,1,7,2,6,7,1,3,5,7,6,1,,1,,4,1,,,,,,,,,,,,,,2,1,3,2,1,3,1,1,1,5,,,,,,,1,2,2,2,5,5,1,6,1,1,,31,3,,42.23280334,-8.722595215,-1
R_1Ifa9nloxPD3hch,Default Response Set,Anonymous,,,148.3.148.77,0,5/4/2016 10:44,5/4/2016 10:50,1,600003,2,,1,,,,,,,,,,1,4,3,2,2,2,5,3,5,5,3,5,,5,5,4,4,5,3,3,4,4,5,2,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,4,5,5,4,5,2,5,5,2,4,3,5,4,1,,3,,,,,,,,,,,,,,,5,1,2,1,2,2,1,2,1,1,1,5,,,,,,,2,2,2,2,2,2,2,1,2,2,1,16,3,,40.41650391,-3.702606201,-1
R_cHNSc2UGwfP4Lzf,Default Response Set,Anonymous,,,92.59.194.96,0,5/4/2016 10:44,5/4/2016 10:52,1,600006,2,,1,,,,,,,,,,1,3,2,1,1,2,4,5,5,5,3,5,,7,6,4,4,3,3,5,4,4,5,4,5,3,5,6,6,7,6,2,6,5,5,5,4,4,5,5,5,5,4,5,2,5,6,6,2,4,6,5,1,,1,,,,,,5,1,,,,,,,,,,2,1,2,1,1,1,2,1,1,5,,,,,,,6,6,6,6,6,5,2,4,1,4,1,9,7,grado univ,41.31689453,2.016799927,-1
R_eA0ed1dE133UyYl,Default Response Set,Anonymous,,,84.126.33.115,0,5/4/2016 10:45,5/4/2016 10:55,1,600009,2,,1,,1,,,,,,,,,6,1,2,3,1,5,5,5,5,3,5,,4,6,4,2,4,2,2,3,5,5,3,2,3,5,6,6,6,5,2,5,6,5,6,2,5,6,4,5,6,2,6,2,5,6,3,4,5,5,4,1,,1,,,,3,1,,,,,,,,,,,,2,2,2,1,1,2,2,2,1,5,,,,,,,2,2,3,2,2,3,1,2,2,1,,38,4,,39.46670532,-0.366699219,-1
R_1BW3Nyt2KIehlEp,Default Response Set,Anonymous,,,83.34.103.41,0,5/4/2016 10:45,5/4/2016 10:57,1,600007,2,,1,,,,,,,,,,1,4,1,1,1,2,2,1,5,5,1,5,,4,5,5,5,7,4,4,5,5,4,3,4,4,4,3,4,7,5,4,6,7,4,6,4,4,3,3,6,4,6,4,2,5,5,3,4,4,5,4,1,,1,,,,,,,,1,1,1,1,1,2,1,,,2,2,2,2,2,1,1,1,2,3,4,4,4,4,4,4,1,7,1,1,1,1,2,1,4,2,1,11,2,,43.48320007,-8.2368927,-1
R_cI1Sf3LQE9atHWB,Default Response Set,Anonymous,,,46.25.73.98,0,5/4/2016 10:45,5/4/2016 11:03,1,600008,2,,1,,,,,,,,,,1,4,2,2,2,2,4,5,5,5,2,5,,5,6,5,2,5,3,2,2,5,5,2,3,3,5,5,5,6,4,4,6,5,3,6,3,4,5,3,3,5,3,5,2,5,4,2,3,3,3,3,1,,1,,,,,,,,,,,,,,,5,1,2,2,2,1,1,2,2,1,1,5,,,,,,,1,1,1,1,1,1,2,2,1,3,1,11,5,,40.41720581,-3.684005737,-1
R_0dKJbae2tQEXmzX,Default Response Set,Anonymous,,,80.28.196.48,0,5/4/2016 11:38,5/4/2016 11:45,1,600013,2,,1,,,,,,,,,,1,5,2,1,1,2,2,5,5,5,2,5,,5,6,5,3,6,3,2,5,2,6,4,5,5,4,6,5,6,5,2,6,5,5,6,4,6,6,3,5,6,5,6,2,5,3,1,2,5,6,5,1,,3,,,,,,3,1,,,,,,,,,,1,2,1,2,2,1,1,1,1,4,3,4,3,4,4,2,3,3,2,2,2,3,2,1,6,4,3,21,4,,40.41650391,-3.702606201,-1
R_6yFl1VviiRFBROZ,Default Response Set,Anonymous,,,87.221.186.147,0,5/4/2016 11:38,5/4/2016 11:49,1,600012,2,,1,,,,,,,,,,1,5,1,1,1,1,2,5,5,5,3,5,,4,6,1,5,7,1,3,5,1,2,3,6,6,4,3,3,7,7,5,5,7,5,7,3,1,3,1,7,4,6,7,2,4,7,1,1,6,7,7,1,,1,,4,1,,,,,,,,,,,,,,2,1,2,2,2,1,1,1,2,4,3,2,1,2,4,3,4,3,2,4,5,5,1,1,3,3,2,22,2,,38.09519958,-3.636001587,-1
R_efaKI48YvYcpI2h,Default Response Set,Anonymous,,,85.84.122.138,0,5/4/2016 11:39,5/4/2016 11:51,1,600021,2,,1,,,,,,,,,,1,4,1,1,2,1,5,5,5,5,3,5,,5,6,2,1,5,4,2,3,2,4,3,1,3,5,6,6,6,5,1,7,4,4,4,4,4,7,1,5,6,5,7,2,4,5,4,2,4,4,6,1,,2,,4,1,,,,,,,,,,,,,,3,2,3,2,2,1,2,1,1,4,7,6,5,7,7,7,2,3,4,2,3,3,2,6,1,4,2,11,4,,43.26089478,-2.938796997,-1
