V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apples,Q2.4_blueberries,Q2.4_feijoas,Q2.4_rambutan,Q2.4_loquat,Q2.4_peaches,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q3.8,Q3.8_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_iron,Q7.1_vitC,Q7.1_potassium,Q7.1_calcium,Q7.1_vitD,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.8_TEXT,Q11.9,Q11.10_1,Q11.10_2,Q11.10_3,Q11.10_4,Q11.10_5,Q11.10_6,Q11.10_6_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,gid,Thank you for agreeing to participate in our survey today.¾ The purpose of this¾survey is to bett...,"In this survey, you will be asked to answer a series of questions that should take you approximat...",Are you the primary shopper for your household (you are responsible for 50% of the grocery purcha...,"Are you, or a close family member, employed in some capacity to the following industries?-Farming and Agriculture","Are you, or a close family member, employed in some capacity to the following industries?-Education","Are you, or a close family member, employed in some capacity to the following industries?-Medical Profession","Are you, or a close family member, employed in some capacity to the following industries?-Market Research","Are you, or a close family member, employed in some capacity to the following industries?-Consulting","Are you, or a close family member, employed in some capacity to the following industries?-BIomedical/biotechnological engineering","Are you, or a close family member, employed in some capacity to the following industries?-Manufacturing","Are you, or a close family member, employed in some capacity to the following industries?-Construction","Are you, or a close family member, employed in some capacity to the following industries?-Real Estate","Are you, or a close family member, employed in some capacity to the following industries?-None of these",What is your current age?,When was the last time you purchased the following products?-Oranges,When was the last time you purchased the following products?-Bananas,When was the last time you purchased the following products?-Strawberries,When was the last time you purchased the following products?-Apples,When was the last time you purchased the following products?-Blueberries,When was the last time you purchased the following products?-Feijoas,When was the last time you purchased the following products?-Rambutan,When was the last time you purchased the following products?-Loquat,When was the last time you purchased the following products?-Peaches,What is your country of residence?,What is your country of residence?-TEXT,Please indicate how much you agree or disagree with each of the following statements.-The Earth is like a spaceship with very limited room and resources.,Please indicate how much you agree or disagree with each of the following statements.-Humans are seriously abusing the environment.,Please indicate how much you agree or disagree with each of the following statements.-Humans will eventually learn enough about how nature works to control it.,Please indicate how much you agree or disagree with each of the following statements.-Corporations care about acting ethically.,Please indicate how much you agree or disagree with each of the following statements.-I like to cook.,"Please indicate how much you agree or disagree with each of the following statements.-The so-called ""ecological crisis"" facing humankind has been greatly exaggerated.",Please indicate how much you agree or disagree with each of the following statements.-Corporations are not driven by greed.,Please indicate how much you agree or disagree with each of the following statements.-Corporations consider the needs of their employees when making business decisions.,Please indicate how much you agree or disagree with each of the following statements.-We are approaching the limit of the number of people the Earth can support.,Please indicate how much you agree or disagree with each of the following statements.-Corporations will break laws if they can make more money from it.,Please indicate how much you agree or disagree with each of the following statements.-The balance of nature is strong enough to cope with the impacts of the modern industrial nations.,"Please indicate how much you agree or disagree with each of the following statements.-I am a ""foodie"".",Please indicate how much you agree or disagree with each of the following statements.-Corporations are respectful of laws.,Please indicate how much you agree or disagree with each of the following statements.-Corporations intentionally deceive the public,Please indicate how much you agree or disagree with each of the following statements.-Corporations want power at any cost.,Please indicate how much you agree or disagree with each of the following statements.-People who run corporations will lie if doing so will increase company profits.,Please indicate how much you agree or disagree with each of the following statements.-Plants and animals have as much right as humans to exist.,Please indicate how much you agree or disagree with each of the following statements.-Technology makes everything work better.,Please indicate how much you agree or disagree with each of the following statements.-Corporations do not exploit their workers.,Please indicate how much you agree or disagree with each of the following statements.-I like to try new recipes.,Please indicate how much you agree or disagree with each of the following statements.-The balance of nature is very delicate and easily upset.,Please indicate how much you agree or disagree with each of the following statements.-When humans interfere with nature it often produces disastrous consequences.,Please indicate how much you agree or disagree with each of the following statements.-I prefer to eat foods cooked at home.,Please indicate how much you agree or disagree with each of the following statements.-Corporations accept accountability for their actions.,Please indicate how much you agree or disagree with each of the following statements.-Technology has brought more bad things than good.,Please indicate how much you agree or disagree with each of the following statements.-Corporations care only about money.,Please indicate how much you agree or disagree with each of the following statements.-Humans were meant to rule over the rest of nature.,Please indicate how much you agree or disagree with each of the following statements.-The Earth has plenty of natural resources if we just learn to develop them.,Please indicate how much you agree or disagree with each of the following statements.-Corporations put their own interests above the public's interest.,Please indicate how much you agree or disagree with each of the following statements.-I like to read food blogs.,Please indicate how much you agree or disagree with each of the following statements.-Corporations take a lot more than they give.,"Please indicate how much you agree or disagree with each of the following statements.-Please select ""disagree"" for this row. Thank you for reading carefully.","Please indicate how much you agree or disagree with each of the following statements.-If things continue on their present course, we will soon experience a major ecological catastrophe.","Please indicate how much you agree or disagree with each of the following statements.-Despite our special abilities, humans are still subject to the laws of nature.",Please indicate how much you agree or disagree with each of the following statements.-Humans have the right to modify the natural environment to suit their needs.,Please indicate how much you agree or disagree with each of the following statements.-Technology is not very important in life.,Please indicate how much you agree or disagree with each of the following statements.-Human ingenuity will insure that we do not make the Earth unlivable.,Please indicate how much you agree or disagree with each of the following statements.-Technology is good for the future of the country.,Please indicate how much you agree or disagree with each of the following statements.-Everyone needs technology.,Where do you primarily purchase groceries?,Where do you primarily purchase groceries?-TEXT,What type of banking institution do you primarily use?,What type of banking institution do you primarily use?-TEXT,Crops can be produced a number of different ways. One way is to use biotechnology. Farmers may ch...,"In the following questions, you will be asked to indicate which pound of oranges you are most int...",Crops can be produced a number of different ways. One way is to use biotechnology. Farmers may ch...,"In the following questions, you will be asked to indicate which pound of oranges you are most int...",Crops can be produced a number of different ways. One way is to use biotechnology. Farmers may ch...,"In the following questions, you will be asked to indicate which pound of oranges you are most int...",How important do you feel the following nutrients are in your diet.-Iron,How important do you feel the following nutrients are in your diet.-Vitamin C,How important do you feel the following nutrients are in your diet.-Potassium,How important do you feel the following nutrients are in your diet.-Calcium,How important do you feel the following nutrients are in your diet.-Vitamin D,Crops can be produced a number of different ways. One way is to use biotechnology. Farmers may ch...,"In the following questions, you will be asked to indicate which pound of oranges you are most int...",How comfortable are you with the use of biotechnology in food production?,"In the following questions, you will be shown descriptions of oranges with different characterist..."," Please select which, if either, pound of oranges you would be most willing to purchase."," Please select which, if either, pound of oranges you would be most willing to purchase."," Please select which, if either, pound of oranges you would be most willing to purchase."," Please select which, if either, pound of oranges you would be most willing to purchase."," Please select which, if either, pound of oranges you would be most willing to purchase."," Please select which, if either, pound of oranges you would be most willing to purchase."," Please select which, if either, pound of oranges you would be most willing to purchase."," Please select which, if either, pound of oranges you would be most willing to purchase."," Please select which, if either, pound of oranges you would be most willing to purchase.",How familiar are you with the company Monsanto?,What is your image of Monsanto?-Likeable:Dislikable,What is your image of Monsanto?-Credible:Noncredible,What is your image of Monsanto?-Positive headlines:Negative headlines,What is your image of Monsanto?-Trustworthy:Untrustworthy,What is your image of Monsanto?-Adheres to ethical basics:Does not adhere to ethical basics,What is your image of Monsanto?-Supports environmental and social concerns:Ignores environmental and social concerns,What is your image of Universities?-Likeable:Dislikable,What is your image of Universities?-Credible:Noncredible,What is your image of Universities?-Positive headlines:Negative headlines,What is your image of Universities?-Trustworthy:Untrustworthy,What is your image of Universities?-Adheres to ethical basics:Does not adhere to ethical basics,What is your image of Universities?-Supports environmental and social concerns:Ignores environmental and social concerns,What is your gender?,Which best describes your employment status?,What is your combined annual household income in U.S dollars?,How many people currently live in your household (including yourself)?,How many children under the age 18 currently live in your household?,"50 States, D.C. and Puerto Rico",In what year were you born?,What is the highest level of education you have completed?,What is the highest level of education you have completed?-TEXT,Are you of Hispanic or Latino origin or descent?,Please select your race and ethnicity. (Select all that apply):-White/Caucasian,Please select your race and ethnicity. (Select all that apply):-African American,Please select your race and ethnicity. (Select all that apply):-Asian,Please select your race and ethnicity. (Select all that apply):-Native American or Alaskan Native,Please select your race and ethnicity. (Select all that apply):-Pacific Islander,Please select your race and ethnicity. (Select all that apply):-Other,Please select your race and ethnicity. (Select all that apply):-Other-TEXT,LocationLatitude,LocationLongitude,LocationAccuracy
R_2t2yDyOU777a3id,Default Response Set,Anonymous,,,70.210.69.170,0,5/2/16 15:19,5/2/16 15:29,1,200002,2,,1,,,,,,,1,,,,7,3,1,3,2,3,5,5,5,4,9,,6,7,4,5,5,1,2,4,4,5,2,2,4,4,4,4,7,4,3,5,5,5,5,3,4,5,3,4,5,3,5,2,5,5,2,4,4,5,5,3,,5,huntington,,,4,1,,,,,,,,,,,,2,2,2,1,1,2,2,1,2,3,4,4,5,5,4,4,3,3,3,3,3,3,2,1,4,2,1,23,48,2,,2,1,,,,,,,42.5368042,-83.14640045,-1
R_54S5QlKd19tmazj,Default Response Set,Anonymous,,,104.55.232.27,0,5/2/16 15:27,5/2/16 15:37,1,200009,2,,1,,,,,,,,,,1,8,2,1,1,1,3,5,5,5,3,9,,6,6,7,3,5,2,1,1,6,7,5,5,3,6,7,7,7,5,2,7,6,6,3,2,2,7,5,6,7,5,7,2,5,7,6,2,5,6,6,1,,1,,,,,,,,,,,,,,,2,1,2,2,2,1,1,1,2,1,1,3,6,7,6,4,4,5,4,2,3,2,4,1,2,3,3,3,1,23,53,4,,2,1,,,,,,,42.32519531,-83.34529877,-1
R_3DixOTcuKyGVkNL,Default Response Set,Anonymous,,,76.8.144.236,0,5/2/16 15:26,5/2/16 15:38,1,200008,2,,1,,,,,,,,,,1,8,3,3,4,4,2,5,5,5,3,9,,4,7,2,2,1,6,1,2,5,7,1,1,2,5,6,7,7,5,2,1,7,7,5,2,1,6,1,7,5,1,7,2,5,7,1,2,2,5,2,3,,2,,,,6,1,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,3,7,4,5,7,6,5,7,7,7,7,5,5,1,5,1,2,2,26,60,2,,2,1,,,,,,,39.75239563,-92.45659637,-1
R_25BSTuHADOT4PAx,Default Response Set,Anonymous,,,72.230.219.144,0,5/2/16 15:34,5/2/16 15:46,1,200010,2,,1,,,,,,,,,,1,7,2,1,2,2,2,5,5,5,3,9,,5,7,5,3,7,3,1,2,3,6,3,5,2,5,5,5,7,5,3,7,5,5,7,5,3,5,5,2,6,3,5,2,7,6,2,3,2,6,7,1,,2,,,,,,,,1,1,2,2,2,3,1,,,2,1,2,2,1,2,3,3,1,5,,,,,,,3,4,3,4,2,3,1,1,1,2,1,33,47,2,,2,1,,,,,,,42.32299805,-75.50740051,-1
R_5ouxPu8rovVBlS5,Default Response Set,Anonymous,,,104.7.247.17,0,5/2/16 16:34,5/2/16 16:43,1,200015,2,,1,,,,,,,,,,1,8,4,1,3,3,4,5,5,5,4,9,,4,5,5,4,4,7,2,4,3,4,5,3,4,4,4,4,4,4,4,5,3,6,7,4,4,5,7,5,5,4,5,2,4,7,4,2,5,4,4,3,,2,,,,,,6,1,,,,,,,,,,3,3,3,3,3,3,3,3,3,2,7,7,4,7,7,7,4,4,4,4,4,4,1,5,5,2,1,25,55,4,,2,1,,,,,,,34.89790344,-88.57939911,-1
R_9TEVlFTO416rd7D,Default Response Set,Anonymous,,,108.196.55.54,0,5/2/16 16:38,5/2/16 16:44,1,200018,2,,1,,,,,,,,,,1,7,1,1,2,2,1,5,5,5,2,9,,6,6,4,4,6,2,3,4,5,4,3,5,5,4,4,4,6,6,4,6,6,6,6,4,3,4,3,5,4,6,4,2,7,7,,1,5,7,6,1,,1,,3,1,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,2,11,47,3,,2,1,,,,,,,35.98170471,-84.1289978,-1
R_6rRtDg7hfXZxIl7,Default Response Set,Anonymous,,,216.230.226.42,0,5/2/16 16:37,5/2/16 16:46,1,200017,2,,1,,,,,,,,,,1,6,1,1,1,1,2,5,5,5,1,9,,6,7,5,5,7,5,4,4,6,5,6,7,5,5,5,6,7,5,4,7,7,7,7,5,6,5,6,7,6,7,6,2,5,5,5,5,4,6,6,1,,1,,,,,,,,,,,,,,,7,1,2,2,2,2,2,1,2,1,2,2,4,4,4,4,4,4,1,1,1,1,1,2,2,1,6,4,2,45,33,6,,1,1,,,,,,,29.9342041,-95.40570068,-1
R_cCsT9RZqPDoH8dD,Default Response Set,Anonymous,,,97.78.165.66,0,5/2/16 16:33,5/2/16 16:47,1,200013,1,1,1,,,,,,,,,,1,7,1,1,1,1,1,5,5,5,1,9,,7,7,4,3,7,1,1,3,4,7,7,7,3,7,7,7,7,4,2,7,7,7,7,2,4,7,7,4,7,1,7,2,7,7,3,3,4,7,7,1,,1,,7,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,2,4,4,4,4,4,5,1,1,1,1,1,1,2,1,6,3,2,38,42,5,,2,1,,,,,,,42.4980011,-83.40720367,-1
R_bIsRvMzbYrUGRSZ,Default Response Set,Anonymous,,,173.16.65.104,0,5/2/16 16:43,5/2/16 16:50,1,200020,2,,1,,,,,,,,,,1,5,3,1,3,3,4,5,5,5,4,9,,5,5,3,4,7,2,3,3,6,5,3,4,4,5,5,5,7,5,4,6,4,5,6,4,4,5,4,4,5,6,5,2,6,6,3,5,3,4,4,1,,5,none,,,4,1,,,,,,,,,,,,2,2,2,1,1,2,1,2,2,5,,,,,,,1,1,1,1,1,1,2,3,4,3,1,16,27,2,,2,1,,,,,,,41.91369629,-90.27110291,-1
