V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1.1,Q1.2,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.2_9,Q2.2_10,Q2.3,Q2.4_orange,Q2.4_banana,Q2.4_strawberry,Q2.4_apples,Q2.4_blueberries,Q2.4_feijoas,Q2.4_rambutan,Q2.4_loquat,Q2.4_peaches,Q2.5,Q2.5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5(N),CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3.5_Validation,NES_15,NES_9,NES_2,TECH_3(N),NES_4,TECH_1,TECH_4,Q3.7,Q3.7_TEXT,Q3.8,Q3.8_TEXT,Q4.1,Q4.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1_iron,Q7.1_vitC,Q7.1_potassium,Q7.1_calcium,Q7.1_vitD,Q7.2,Q7.3,Q8.1,Q8.2,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.8,Q9.9,Q10.1,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q10.3_1,Q10.3_2,Q10.3_3,Q10.3_4,Q10.3_5,Q10.3_6,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q11.6,Q11.7,Q11.8,Q11.8_TEXT,Q11.9,Q11.10_1,Q11.10_2,Q11.10_3,Q11.10_4,Q11.10_5,Q11.10_6,Q11.10_6_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,RID
R_9TEVlFTO416rd7D,Default Response Set,Anonymous,,,108.196.55.54,0,5/2/2016 16:38,5/2/2016 16:44,1,200018,2,,1,,,,,,,,,,1,7,1,1,2,2,1,5,5,5,2,9,,6,6,4,4,6,2,3,4,5,4,3,5,5,4,4,4,6,6,4,6,6,6,6,4,3,4,3,5,4,6,4,2,7,7,,1,5,7,6,1,,1,,3,1,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,2,11,47,3,,2,1,,,,,,,35.98170471,-84.1289978,-1,1
R_cCsT9RZqPDoH8dD,Default Response Set,Anonymous,,,97.78.165.66,0,5/2/2016 16:33,5/2/2016 16:47,1,200013,1,1,1,,,,,,,,,,1,7,1,1,1,1,1,5,5,5,1,9,,7,7,4,3,7,1,1,3,4,7,7,7,3,7,7,7,7,4,2,7,7,7,7,2,4,7,7,4,7,1,7,2,7,7,3,3,4,7,7,1,,1,,7,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,2,4,4,4,4,4,5,1,1,1,1,1,1,2,1,6,3,2,38,42,5,,2,1,,,,,,,42.4980011,-83.40720367,-1,2
R_djwg0WSWx9912Ad,Default Response Set,Anonymous,,,172.243.108.192,0,5/2/2016 18:38,5/2/2016 18:49,1,200031,2,,1,,,,,,,,1,,,7,4,3,5,2,5,5,5,5,5,9,,1,5,1,3,2,6,2,3,1,5,3,6,3,6,6,6,2,5,4,1,5,6,4,2,4,5,5,4,5,1,4,2,4,4,2,5,3,4,1,4,,1,,7,1,,,,,,,,,,,,,,3,3,3,3,1,3,3,3,1,5,,,,,,,5,4,4,4,4,3,2,2,5,2,1,26,44,2,,2,1,,,,,,,37.75100708,-97.8219986,-1,3
R_cLKY3mUyGIlBfW5,Default Response Set,Anonymous,,,24.0.192.233,0,5/2/2016 20:38,5/2/2016 20:46,1,200048,2,,1,,,,,,,,,,1,4,1,1,1,1,2,5,5,5,2,9,,5,7,6,5,7,3,3,5,3,5,5,7,4,5,6,5,7,7,3,7,6,7,5,5,2,7,7,7,6,6,6,2,6,7,7,1,7,7,7,1,,1,,1,1,,,,,,,,,,,,,,2,1,2,2,1,2,1,1,1,5,,,,,,,2,1,3,2,2,3,1,1,4,5,3,31,15,4,,2,,,1,,,,,39.95239258,-75.08840179,-1,4
R_3r5CRLRp2z716q9,Default Response Set,Anonymous,,,128.8.152.9,0,5/2/2016 20:43,5/2/2016 20:50,1,200065,2,,1,,1,,,,,,,,,7,1,1,2,1,3,5,5,5,3,9,,7,6,6,5,7,6,2,5,6,6,3,6,5,5,5,5,7,5,3,7,5,5,7,5,4,4,2,2,6,2,5,2,6,6,5,3,5,5,3,3,,2,,7,1,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,6,5,6,6,6,6,2,2,2,2,1,1,2,2,1,2,1,21,49,4,,2,1,,,,,,,39.00120544,-76.93170166,-1,5
R_8dz31SwhI27dMyN,Default Response Set,Anonymous,,,24.112.58.107,0,5/2/2016 20:46,5/2/2016 20:54,1,200066,2,,1,,,,,,,,,,1,4,2,2,2,1,2,5,5,5,2,9,,7,7,1,3,5,2,2,2,5,6,2,2,3,5,6,5,7,5,3,6,7,7,7,5,2,5,1,3,6,5,6,2,6,7,1,5,2,5,5,1,,2,,6,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,3,5,,,,,,,3,2,3,3,2,2,2,6,1,2,1,19,16,2,,2,1,,,,,,,30.24130249,-93.26899719,-1,
R_8pm4LkbpdYw8pcF,Default Response Set,Anonymous,,,24.181.126.182,0,5/2/2016 20:57,5/2/2016 21:03,1,200083,2,,1,,,,,,,,,,1,4,3,3,3,3,3,5,5,5,3,9,,5,5,5,5,6,5,2,3,3,5,5,5,3,3,3,5,6,5,5,5,5,5,5,5,3,5,3,5,5,3,5,2,5,5,5,2,5,6,5,1,,1,,3,1,,,,,,,,,,,,,,2,2,2,2,2,2,1,1,1,5,,,,,,,3,3,3,3,3,3,1,1,4,2,1,1,18,4,,2,1,,,,,,,33.80110168,-87.27980042,-1,
R_5yUicDUWSvIMNZb,Default Response Set,Anonymous,,,75.142.165.134,0,5/2/2016 21:47,5/2/2016 21:55,1,200104,2,,1,,,,,,,,,,1,8,4,1,2,3,2,5,5,5,4,9,,6,6,4,2,1,1,2,2,4,3,3,1,5,5,5,5,6,6,1,2,6,6,4,2,1,6,2,6,7,1,6,2,6,6,3,1,5,6,4,1,,1,,4,1,,,,,,,,,,,,,,3,3,3,1,1,3,2,3,1,4,7,7,7,7,7,7,2,2,2,2,2,2,1,5,3,1,,45,53,4,,2,1,,,,,,,32.81509399,-97.17340088,-1,
R_06fZaaquL2YqW0t,Default Response Set,Anonymous,,,184.23.11.175,0,5/2/2016 23:41,5/2/2016 23:48,1,200118,2,,1,,1,,,,,,,,,5,2,4,2,3,3,5,5,5,3,9,,5,7,1,3,7,1,3,4,6,5,1,3,3,4,5,5,7,3,3,6,6,6,7,4,4,4,1,4,5,3,4,2,7,7,2,3,2,4,4,2,,4,,7,1,,,,,,,,,,,,,,2,3,3,1,1,3,3,3,1,3,6,6,7,7,7,7,4,2,3,4,3,3,2,2,3,3,1,5,26,4,,2,1,,,,,,,37.78619385,-122.4371033,-1,
R_5c03a7cKw1SVSxD,Default Response Set,Anonymous,,,216.196.211.244,0,5/2/2016 23:46,5/3/2016 0:02,1,200124,2,,1,,,,,,,,,,1,8,1,4,4,4,4,5,5,5,4,9,,5,5,6,3,5,4,4,5,3,4,4,3,5,4,4,4,6,6,3,4,6,5,5,5,4,3,5,5,4,4,3,2,4,6,4,2,5,5,6,1,,2,,4,1,,,,,,,,,,,,,,2,1,2,1,1,1,3,1,1,4,4,4,4,4,3,3,6,5,6,4,4,2,2,5,3,2,1,36,54,2,,2,1,,,,,,,39.28309631,-84.5161972,-1,
